statisticalAreaCode,statisticalArea,area
UKH2,Bedfordshire and Hertfordshire,2879
UKJ1,Berkshire Buckinghamshire and Oxfordshire,5744
UKD6,Cheshire,2277
UKK3,Cornwall and Isles of Scilly,3601
UKD1,Cumbria,7002
UKF1,Derbyshire and Nottinghamshire,4789
UKK4,Devon,6775
UKK2,Dorset and Somerset,6157
UKH1,East Anglia,12670
UKL2,East Wales,7716
UKE1,East Yorkshire and Northern Lincolnshire,3586
UKM7,Eastern Scotland,13389
UKH3,Essex,3813
UKK1,Gloucestershire Wiltshire and Bath/Bristol area,7588
UKD3,Greater Manchester,1276
UKJ3,Hampshire and Isle of Wight,4199
UKG1,Herefordshire Worcestershire and Warwickshire,5899
UKM6,Highlands and Islands,41510
UKI4,Inner London - East,213
UKI3,Inner London - West,111
UKJ4,Kent,3824
UKD4,Lancashire,3170
UKF2,Leicestershire Rutland and Northamptonshire,4918
UKF3,Lincolnshire,6020
UKD7,Merseyside,817
UKM5,North Eastern Scotland,6524
UKE2,North Yorkshire,8319
UKN0,Northern Ireland,14233
UKC2,Northumberland and Tyne and Wear,5598
UKI5,Outer London - East and North East,439
UKI6,Outer London - South,355
UKI7,Outer London - West and North West,466
UKG2,Shropshire and Staffordshire,6204
UKE3,South Yorkshire,1552
UKM9,Southern Scotland,15885
UKJ2,Surrey East and West Sussex,5481
UKC1,Tees Valley and Durham,3037
UKM8,West Central Scotland,1978
UKG3,West Midlands,902
UKL1,West Wales and The Valleys,13287
UKE4,West Yorkshire,2030
