nutsCode,nuts,area
00100,Johnson City,3987.6499
00200,Morristown,1833.52
00301,Middlesborough,1026.4299
00302,Knoxville,3347.1499
00401,Winston-Salem,2011.04
00402,Martinsville,881.2999900000001
00500,Greensboro,4472.2798
00601,North Wilkesboro,1186.77
00602,Galax,1167.36
00700,Spartanburg,1971.05
00800,Gastonia,1705.2
00900,Charlotte,4857.04
01001,Boone,862.73999
01002,Morganton,1496.62
01100,Hickory,1744.55
01201,Franklin,896.4500099999999
01202,Sylva,1336.62
01203,Asheville,2421.9299
01204,Andrews,1188.35
01301,Bennettsville,1291.14
01302,Florence,5498.3301
01400,Fayetteville,4009.6201
01500,Wilmington,4151.4702
01600,Rocky Mount,1423.62
01701,Raleigh,5357.3501
01702,Henderson,713.6799900000001
01800,Goldsboro,2323.3799
01900,Jacksonville,5385.6602
02000,Virginia Beach,3449.03
02100,Washington,5431.0698
02200,South Boston,3957.96
02300,Lynchburg,2146.8301
02400,Richmond,4492.2402
02500,Newport News,2764.6499
02600,Roanoke Rapids,2687.0698
02700,Gulfport,5041.5498
02800,Laurel,2828.1399
02900,Hattiesburg,2445.0701
03001,Kosciusko,1501.39
03002,Yazoo City,1365.4
03003,Jackson,4991.48
03101,McComb,2783.3
03102,Brookhaven,1023.98
03201,Jena,1401.9199
03202,Natchez,2443.05
03203,Vicksburg,2298.0901
03300,New Orleans,8031.21
03400,Houma,5035.9004
03500,Baton Rouge,5038.1001
03600,Alexandria,2892.3799
03700,Lake Charles,6958.1899
03800,Lafayette,5932.3599
03901,Monroe,4084.1799
03902,Lake Providence,802.83997
04001,Magnolia,1312.05
04002,Shreveport,6604.5303
04003,Ruston,2009.6599
04004,Many,1011.59
04101,Crossett,939.1599699999999
04102,Pine Bluff,5085.4399
04103,El Dorado,3095.8601
04200,Little Rock,4765.2197
04301,Stuttgart,2331.1201
04302,Searcy,2278.02
04401,Corbin,1747.75
04402,Richmond,1363.53
04501,West Liberty,1511.29
04502,Hazard,1907.15
04601,Campbellsville,1706.7
04602,Somerset,2330.78
04701,Greenwood,2098.3
04702,Clarksdale,3521.3799
04800,Greenville,3250.71
04901,Jackson,2387.01
04902,Dyersburg,1761.6901
04903,Lexington,1293.8101
05000,Tupelo,3359.05
05100,Corinth,2421.46
05201,New Albany,1285.5801
05202,Memphis,4063.2
05300,West Memphis,3248.3901
05401,Bowling Green,2001.15
05402,Glasgow,2111.1201
05500,Columbia,2498.1699
05600,Nashville,4659.1001
05700,Tullahoma,1614.13
05800,Dickson,2677.7
05900,Clarksville,2826.2
06000,Huntsville,3307.9102
06100,Gadsden,3077.55
06200,Florence,3342.6602
06301,McMinnville,1417.28
06302,Cookeville,1331.42
06401,Chattanooga,2500.28
06402,Crossville,1927.1
06501,Ellijay,823.31
06502,Cleveland,2075.8201
06600,Rome,3210.3999
06700,Tampa,3331.25
06800,Lakeland,3754.9299
06900,Sarasota,3116.9399
07000, Miami,5057.1602
07000,Miami,5057.1602
07100,Port St. Lucie,6895.5801
07200,Cape Coral,3517.0901
07300,Palm Bay,2174.22
07400,Orlando,4592.5601
07500,Deltona,2830.52
07600,Jacksonville,5263.8301
07700,Lake City,4508.3101
07800,Ocala,2436.3398
07900,Gainesville,4150.5698
08000,Sumter,2529.4299
08100,Columbia,4869.3599
08201,Barnwell,1928.09
08202,Charleston,4295.1602
08300,Greenville,4829.9399
08401,Augusta,4285.5898
08402,Washington,1333.1
08501,Fitzgerald,616.78998
08502,Cordele,1061.6799
08503,Valdosta,3435.53
08601,Waycross,3307.26
08602,Brunswick,1605.27
08701,Hinesville,2330.1299
08702,Statesboro,2636.3101
08800,Savannah,3192.5901
08900,Macon,3117.8101
09001,Vidalia,2913.3201
09002,Milledgeville,1559.01
09003,Dublin,1809.53
09100,Atlanta,5368.0103
09200,Griffin,1122.5601
09301,Athens,1198.09
09302,Toccoa,1081.62
09400,Gainesville,1812.39
09500,Talladega,2799.0801
09600,LaGrange,4340.8701
09701,Columbus,2492.78
09702,Americus,2107.46
09800,Auburn,1855.01
09900,Tallahassee,6079.6602
10000,Panama City,2815.5801
10101,Bainbridge,1163.52
10102,Thomasville,1012.5
10200,Albany,2471.99
10301,Eufaula,2513.3501
10302,Dothan,2972.29
10400,Meridian,3327.1499
10501,Columbus,2106.6699
10502,Starkville,2331.3601
10600,Jasper,3415.77
10700,Birmingham,4693.4399
10801,Tuscaloosa,4351.6401
10802,Demopolis,3477.1699
10900,Pensacola,4369.4702
11001,Mobile,6919.98
11002,Atmore,2840.24
11101,Montgomery,3564.6401
11102,Troy,2327.01
11201,Bluefield,2744.6699
11202,Welch,1036.79
11203,Big Stone Gap,1183.73
11301,Fredericksburg,1429.12
11302,Baltimore,2594.8
11303,Colonial Beach,1272.01
11304,Washington DC,5967.73
11304, Washington DC,5967.73
11401,Marquette,12346.811000000002
11402,Marinette,5374.27
11403,Sault Ste. Marie,6710.4902
11500,Jackson,2092.3799
11600,Detroit,7734.6499
11700,Lansing,1714.6499
11800,Mount Pleasant,1724.67
11900,Saginaw,6223.0098
12001,Big Rapids,2868.6602
12002,Ludington,2522.8799
12100,Kalamazoo,2965.9299
