statisticalAreaCode,statisticalArea,area,country_code
DE11,Stuttgart,10558.00,DE
DE12,Karlsruhe,6919.00,DE
DE13,Freiburg,9357.00,DE
DE14,Tübingen,8918.00,DE
DE21,Oberbayern,17530.00,DE
DE22,Niederbayern,10329.00,DE
DE23,Oberpfalz,9690.00,DE
DE24,Oberfranken,7232.00,DE
DE25,Mittelfranken,7245.00,DE
DE26,Unterfranken,8531.00,DE
DE27,Schwaben,9994.00,DE
DE30,Berlin,892,DE
DE40,Brandenburg,29484.00,DE
DE50,Bremen,419,DE
DE60,Hamburg,755,DE
DE71+DE72,Darmstadt and Gießen,12826.00,DE
DE73,Kassel,8289.00,DE
DE80,Mecklenburg-Vorpommern,23194.00,DE
DE91+DE92,Braunschweig und Hannover,17148.00,DE
DE93,Lüneburg,15495.00,DE
DE94,Weser-Ems,14971.00,DE
DEA1,Düsseldorf,5291.00,DE
DEA2,Köln,7365.00,DE
DEA3,Münster,6911.00,DE
DEA4,Detmold,6523.00,DE
DEA5,Arnsberg,8008.00,DE
DEB1,Koblenz,8073.00,DE
DEB2,Trier,4924.00,DE
DEB3,Rheinhessen-Pfalz,6851.00,DE
DEC0,Saarland,2569.00,DE
DED2,Dresden,7931.00,DE
DED4,Chemnitz,6524.00,DE
DED5,Leipzig,3965.00,DE
DEE0,Sachsen-Anhalt,20450.00,DE
DEF0,Schleswig-Holstein,15800.00,DE
DEG0,Thüringen,16173.00,DE
UKH2,Bedfordshire and Hertfordshire,2879,UK
UKJ1,Berkshire Buckinghamshire and Oxfordshire,5744,UK
UKD6,Cheshire,2277,UK
UKK3,Cornwall and Isles of Scilly,3601,UK
UKD1,Cumbria,7002,UK
UKF1,Derbyshire and Nottinghamshire,4789,UK
UKK4,Devon,6775,UK
UKK2,Dorset and Somerset,6157,UK
UKH1,East Anglia,12670,UK
UKL2,East Wales,7716,UK
UKE1,East Yorkshire and Northern Lincolnshire,3586,UK
UKM7,Eastern Scotland,13389,UK
UKH3,Essex,3813,UK
UKK1,Gloucestershire Wiltshire and Bath/Bristol area,7588,UK
UKD3,Greater Manchester,1276,UK
UKJ3,Hampshire and Isle of Wight,4199,UK
UKG1,Herefordshire Worcestershire and Warwickshire,5899,UK
UKM6,Highlands and Islands,41510,UK
UKI4,Inner London - East,213,UK
UKI3,Inner London - West,111,UK
UKJ4,Kent,3824,UK
UKD4,Lancashire,3170,UK
UKF2,Leicestershire Rutland and Northamptonshire,4918,UK
UKF3,Lincolnshire,6020,UK
UKD7,Merseyside,817,UK
UKM5,North Eastern Scotland,6524,UK
UKE2,North Yorkshire,8319,UK
UKN0,Northern Ireland,14233,UK
UKC2,Northumberland and Tyne and Wear,5598,UK
UKI5,Outer London - East and North East,439,UK
UKI6,Outer London - South,355,UK
UKI7,Outer London - West and North West,466,UK
UKG2,Shropshire and Staffordshire,6204,UK
UKE3,South Yorkshire,1552,UK
UKM9,Southern Scotland,15885,UK
UKJ2,Surrey East and West Sussex,5481,UK
UKC1,Tees Valley and Durham,3037,UK
UKM8,West Central Scotland,1978,UK
UKG3,West Midlands,902,UK
UKL1,West Wales and The Valleys,13287,UK
UKE4,West Yorkshire,2030,UK
FRK21,Ain,5762.00,FR
FRE21,Aisne,7362.00,FR
FRK11,Allier,7340.00,FR
FRL01,Alpes-de-Haute-Provence,6925.00,FR
FRL02,Hautes-Alpes,5549.00,FR
FRL03,Alpes-Maritimes,4299.00,FR
FRK22,Ardèche,5529.00,FR
FRF21,Ardennes,5229.00,FR
