kind,raw,harmonized,nuts_code
state,Bade-Wurtemberg,Baden-Württemberg,DE1
state,Baden-Wurttemberg,Baden-Württemberg,DE1
state,Baden-Württemberg,Baden-Württemberg,DE1
state,Bavaria,Bayern,DE2
state,Bayern,Bayern,DE2
state,Berlin,Berlin,DE3
state,Brandenburg,Brandenburg,DE4
state,Bremen,Bremen,DE5
state,Hamburg,Hamburg,DE6
state,Hesse,Hessen,DE7
state,Hessen,Hessen,DE7
state,KS,,
state,Lower Saxony,Niedersachsen,DE9
state,Lower-Saxony,Niedersachsen,DE9
state,Mecklenburg-Vorpommern,,
state,Niedersachsen,Niedersachsen,DE9
state,Noordrijn-Westfalen,Nordrhein-Westfalen,DEA
state,Nordrhein-Westfalen,Nordrhein-Westfalen,DEA
state,North Rhine-Westphalia,Nordrhein-Westfalen,DEA
state,North-Rhine-Westphalia,Nordrhein-Westfalen,DEA
state,NRW,Nordrhein-Westfalen,DEA
state,Rheinland-Pfalz,Rheinland-Pfalz,DEB
state,Rhineland-Palatinate,Rheinland-Pfalz,DEB
state,Saarland,Saarland,DEC
state,Sachsen,Sachsen,DED
state,Sachsen-Anhalt,Sachsen-Anhalt,DEE
state,Saxony,Sachsen,DED
state,Saxony-Anhalt,Sachsen-Anhalt,DEE
state,Schleswig-Holstein,Schleswig-Holstein,DEF
state,Thuringia,Thüringen,DEG
state,Thüringen,Thüringen,DEG
state,Σλέσβιγκ-Χόλσταϊν,Schleswig-Holstein,DEF
county,Aabenraa,,
county,Aachen,Köln,DEA2
county,Ahrweiler,Koblenz,DEB1
county,Aichach-Friedberg,Schwaben,DE27
county,Alb-Donau-Kreis,Tübingen,DE14
county,Altenburger Land,Thüringen,DEG0
county,Altenkirchen (Westerwald),Koblenz,DEB1
county,Altmarkkreis Salzwedel,Sachsen-Anhalt,DEE0
county,Altötting,Oberbayern,DE21
county,Alzey-Worms,Rheinhessen-Pfalz,DEB3
county,Amberg,Oberpfalz,DE23
county,Amberg-Sulzbach,Oberpfalz,DE23
county,Ammerland,Weser-Ems,DE94
county,Anhalt-Bitterfeld,Sachsen-Anhalt,DEE0
county,Ansbach (Landkreis),Mittelfranken,DE25
county,Ansbach (Stadt),Mittelfranken,DE25
county,Arnsberg,Arnsberg,DEA5
county,Aschaffenburg (Landkreis),Unterfranken,DE26
county,Aschaffenburg (Stadt),Unterfranken,DE26
county,Augsburg (City),Schwaben,DE27
county,Augsburg (Landkreis),Schwaben,DE27
