postal_code,nuts1_code,nuts2_code,nuts3_code,nuts1,nuts2,nuts3
70173,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70174,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70176,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70178,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70180,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70182,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70184,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70186,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70188,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70190,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70191,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70192,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70193,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70195,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70197,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70199,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70327,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70329,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70372,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70374,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70376,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70378,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70435,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70437,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70439,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70469,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70499,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70563,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70565,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70567,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70569,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70597,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70599,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
70619,DE1,DE11,DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis"
71032,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71034,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71063,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71065,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71067,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71069,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71083,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71088,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71093,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71101,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71106,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71111,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71116,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71120,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71126,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71131,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71134,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71139,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71144,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71149,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71154,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71155,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71157,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71159,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71229,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71263,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71272,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71277,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
71287,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
75392,DE1,DE11,DE112,Baden-Württemberg,Stuttgart,Böblingen
70629,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
70771,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
70794,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72622,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72631,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72636,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72639,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72644,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72649,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72654,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72655,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72657,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72658,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72660,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72663,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72664,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72666,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72667,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
72669,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
73207,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
73230,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
73235,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
73240,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
73249,DE1,DE11,DE113,Baden-Württemberg,Stuttgart,Esslingen
