country_code,country,source1,source2,year,exports
AUH,Austria-Hungary,,,1870,
AUH,Austria-Hungary,,,1871,
AUH,Austria-Hungary,,,1872,
AUH,Austria-Hungary,,,1873,
AUH,Austria-Hungary,,,1874,
AUH,Austria-Hungary,,,1875,
AUH,Austria-Hungary,,,1876,
AUH,Austria-Hungary,,,1877,
AUH,Austria-Hungary,,,1878,
AUH,Austria-Hungary,,,1879,
AUH,Austria-Hungary,,,1880,
AUH,Austria-Hungary,,,1881,
AUH,Austria-Hungary,,,1882,
AUH,Austria-Hungary,,,1883,
AUH,Austria-Hungary,,,1884,
AUH,Austria-Hungary,,,1885,
AUH,Austria-Hungary,,,1886,
AUH,Austria-Hungary,,,1887,
AUH,Austria-Hungary,,,1888,
AUH,Austria-Hungary,,,1889,
AUH,Austria-Hungary,,,1890,
AUH,Austria-Hungary,,,1891,
AUH,Austria-Hungary,,,1892,
AUH,Austria-Hungary,,,1893,
AUH,Austria-Hungary,,,1894,
AUH,Austria-Hungary,,,1895,
AUH,Austria-Hungary,,,1896,
AUH,Austria-Hungary,,,1897,
AUH,Austria-Hungary,,,1898,
AUH,Austria-Hungary,,,1899,
AUH,Austria-Hungary,,,1900,
AUH,Austria-Hungary,,,1901,
AUH,Austria-Hungary,,,1902,
AUH,Austria-Hungary,,,1903,
AUH,Austria-Hungary,,,1904,
AUH,Austria-Hungary,,,1905,
AUH,Austria-Hungary,,,1906,
AUH,Austria-Hungary,,,1907,
AUH,Austria-Hungary,,,1908,
AUH,Austria-Hungary,,,1909,
AUH,Austria-Hungary,,,1910,
AUH,Austria-Hungary,,,1911,
AUH,Austria-Hungary,,,1912,
AUH,Austria-Hungary,,,1913,
AUH,Austria-Hungary,,,1914,
AUH,Austria-Hungary,,,1915,
AUH,Austria-Hungary,,,1916,
AUH,Austria-Hungary,,,1917,
AUH,Austria-Hungary,,,1918,
AUH,Austria-Hungary,,,1919,
AUH,Austria-Hungary,,,1920,
AUH,Austria-Hungary,,,1921,
AUH,Austria-Hungary,,,1922,
AUH,Austria-Hungary,,,1923,
AUH,Austria-Hungary,,,1924,
AUH,Austria-Hungary,,,1925,
AUH,Austria-Hungary,,,1926,
AUH,Austria-Hungary,,,1927,
AUH,Austria-Hungary,,,1928,
AUH,Austria-Hungary,,,1929,
AUH,Austria-Hungary,,,1930,
AUH,Austria-Hungary,,,1931,
AUH,Austria-Hungary,,,1932,
AUH,Austria-Hungary,,,1933,
AUH,Austria-Hungary,,,1934,
AUH,Austria-Hungary,,,1935,
AUH,Austria-Hungary,,,1936,
AUH,Austria-Hungary,,,1937,
AUH,Austria-Hungary,,,1938,
AUH,Austria-Hungary,,,1939,
AUH,Austria-Hungary,,,1940,
AUH,Austria-Hungary,,,1941,
AUH,Austria-Hungary,,,1942,
AUH,Austria-Hungary,,,1943,
AUH,Austria-Hungary,,,1944,
AUH,Austria-Hungary,,,1945,
AUH,Austria-Hungary,,,1946,
AUH,Austria-Hungary,,,1947,
AUH,Austria-Hungary,,,1948,
AUH,Austria-Hungary,,,1949,
AUH,Austria-Hungary,,,1950,
AUH,Austria-Hungary,,,1951,
AUH,Austria-Hungary,,,1952,
AUH,Austria-Hungary,,,1953,
AUH,Austria-Hungary,,,1954,
AUH,Austria-Hungary,,,1955,
AUH,Austria-Hungary,,,1956,
AUH,Austria-Hungary,,,1957,
AUH,Austria-Hungary,,,1958,
AUH,Austria-Hungary,,,1959,
AUH,Austria-Hungary,,,1960,
AUH,Austria-Hungary,,,1961,
AUH,Austria-Hungary,,,1962,
AUH,Austria-Hungary,,,1963,
AUH,Austria-Hungary,,,1964,
AUH,Austria-Hungary,,,1965,
AUH,Austria-Hungary,,,1966,
AUH,Austria-Hungary,,,1967,
AUH,Austria-Hungary,,,1968,
AUH,Austria-Hungary,,,1969,
AUH,Austria-Hungary,,,1970,
AUH,Austria-Hungary,,,1971,
AUH,Austria-Hungary,,,1972,
AUH,Austria-Hungary,,,1973,
AUH,Austria-Hungary,,,1974,
AUH,Austria-Hungary,,,1975,
AUH,Austria-Hungary,,,1976,
AUH,Austria-Hungary,,,1977,
AUH,Austria-Hungary,,,1978,
AUH,Austria-Hungary,,,1979,
AUH,Austria-Hungary,,,1980,
AUH,Austria-Hungary,,,1981,
