country,country_code,year,gdppc
Australia,AUS,1870,5217.0
Austria,AUT,1870,2970.0
Belgium,BEL,1870,4291.0
Cada,CAN,1870,2702.0
Switzerland,CHE,1870,2954.0
Czechoslovakia,CSK,1870,1855.0
Czech Republic,CZE,1870,
Denmark,DNK,1870,3193.0
United Kingdom,GBR,1870,5829.0
Hungary,HUN,1870,1741.0
Italy,ITA,1870,2826.0
Japan,JPN,1870,1580.0
Netherlands,NLD,1870,4422.0
Poland,POL,1870,1575.0
Russian Federation,RUS,1870,
Sweden,SWE,1870,2144.0
United States,USA,1870,4803.0
Australia,AUS,1871,5259.0
Austria,AUT,1871,3154.0
Belgium,BEL,1871,4275.0
Cada,CAN,1871,2797.0
Switzerland,CHE,1871,3064.0
Czechoslovakia,CSK,1871,
Czech Republic,CZE,1871,
Denmark,DNK,1871,3177.0
United Kingdom,GBR,1871,5797.0
Hungary,HUN,1871,
Italy,ITA,1871,2811.0
Japan,JPN,1871,
Netherlands,NLD,1871,4364.0
Poland,POL,1871,1576.0
Russian Federation,RUS,1871,
Sweden,SWE,1871,2219.0
United States,USA,1871,4919.0
Australia,AUS,1872,5663.0
Austria,AUT,1872,3150.0
Belgium,BEL,1872,4501.0
Cada,CAN,1872,2718.0
Switzerland,CHE,1872,3140.0
Czechoslovakia,CSK,1872,
Czech Republic,CZE,1872,
Denmark,DNK,1872,3327.0
United Kingdom,GBR,1872,5769.0
Hungary,HUN,1872,
Italy,ITA,1872,2593.0
Japan,JPN,1872,
Netherlands,NLD,1872,4414.0
Poland,POL,1872,1599.0
Russian Federation,RUS,1872,
Sweden,SWE,1872,2259.0
United States,USA,1872,4992.0
Australia,AUS,1873,6095.0
Austria,AUT,1873,3049.0
Belgium,BEL,1873,4495.0
Cada,CAN,1873,2936.0
Switzerland,CHE,1873,3321.0
Czechoslovakia,CSK,1873,
Czech Republic,CZE,1873,
Denmark,DNK,1873,3279.0
United Kingdom,GBR,1873,5842.0
Hungary,HUN,1873,
Italy,ITA,1873,2581.0
Japan,JPN,1873,
Netherlands,NLD,1873,4503.0
Poland,POL,1873,1653.0
Russian Federation,RUS,1873,
Sweden,SWE,1873,2284.0
United States,USA,1873,5117.0
