countrycode,year,gdppc,pop
AFG,1870,,4207
AFG,1913,,5730
AFG,1950,1156,8150
AFG,1951,1170,8284
AFG,1952,1189,8425
AFG,1953,1240,8573
AFG,1954,1245,8728
AFG,1955,1246,8891
AFG,1956,1278,9062
AFG,1957,1253,9241
AFG,1958,1298,9429
AFG,1959,1307,9625
AFG,1960,1326,9829
AFG,1961,1309,10043
AFG,1962,1302,10267
AFG,1963,1298,10501
AFG,1964,1291,10744
AFG,1965,1290,10998
AFG,1966,1272,11262
AFG,1967,1277,11538
AFG,1968,1290,11825
AFG,1969,1278,12123
AFG,1970,1272,12431
AFG,1971,1237,12749
AFG,1972,1007,13079
AFG,1973,1011,13421
AFG,1974,1039,13772
AFG,1975,1074,14132
AFG,1976,1105,14501
AFG,1977,1022,14880
AFG,1978,1070,15269
AFG,1979,1023,15556
AFG,1980,1019,15044
AFG,1981,1144,13676
AFG,1982,1270,12583
AFG,1983,1347,12439
AFG,1984,1337,12769
AFG,1985,1304,13120
AFG,1986,1344,13126
AFG,1987,1211,13056
AFG,1988,1101,13169
AFG,1989,999,13503
AFG,1990,963,13568
AFG,1991,881,13672
AFG,1992,844,15023
AFG,1993,578,17003
AFG,1994,428,18486
AFG,1995,633,19445
AFG,1996,600,20111
AFG,1997,571,20769
AFG,1998,545,21452
AFG,1999,519,22206
AFG,2000,502,22461
AFG,2001,490,22507
AFG,2002,797,23600
AFG,2003,843,25005
AFG,2004,869,25698
AFG,2005,964,26335
AFG,2006,1057,27154
AFG,2007,1260,27387
AFG,2008,1320,27706
AFG,2009,1557,28484
AFG,2010,1628,29121
AFG,2011,1792,29758
AFG,2012,1945,30420
AFG,2013,2025,31108
AFG,2014,2022,31823
AFG,2015,1928,32564
AFG,2016,1929,33332
AFG,2017,2015,34125
AFG,2018,1935,34941
AGO,1950,1677,4118
AGO,1951,1715,4173
AGO,1952,1755,4232
AGO,1953,1795,4294
AGO,1954,1720,4358
AGO,1955,1830,4423
AGO,1956,1769,4491
AGO,1957,1908,4561
AGO,1958,1978,4636
AGO,1959,1953,4715
AGO,1960,1997,4797
AGO,1961,2225,4752
AGO,1962,2128,4826
AGO,1963,2200,4920
AGO,1964,2407,5026
AGO,1965,2544,5135
AGO,1966,2646,5201
AGO,1967,2753,5247
AGO,1968,2665,5350
AGO,1969,2695,5472
AGO,1970,2818,5606
AGO,1971,2754,5753
AGO,1972,2729,5895
AGO,1973,2852,6026
AGO,1974,2727,5987
AGO,1975,1710,5885
AGO,1976,1521,5943
AGO,1977,1500,6164
AGO,1978,1530,6287
AGO,1979,1527,6453
AGO,1980,1532,6743
AGO,1981,1471,6880
AGO,1982,1374,7019
AGO,1983,1288,7241
AGO,1984,1259,7442
AGO,1985,1242,7585
AGO,1986,1106,7749
AGO,1987,1211,7878
AGO,1988,1360,8023
AGO,1989,1360,8154
AGO,1990,1384,8297
AGO,1991,1437,8587
AGO,1992,1389,8899
AGO,1993,1080,9242
AGO,1994,1121,9601
AGO,1995,1319,9964
AGO,1996,1534,10313
AGO,1997,1687,10651
AGO,1998,1811,10990
AGO,1999,1899,11334
AGO,2000,2014,11676
AGO,2001,2162,12030
AGO,2002,2523,12443
AGO,2003,2712,12936
AGO,2004,3064,13480
AGO,2005,3709,14012
AGO,2006,4592,14535
AGO,2007,5774,15083
AGO,2008,6744,15658
AGO,2009,7088,16260
AGO,2010,7521,16884
AGO,2011,8016,17524
AGO,2012,8190,18202
AGO,2013,8508,18907
AGO,2014,8673,19623
AGO,2015,8689,20353
AGO,2016,8453,21097
AGO,2017,8146,21858
AGO,2018,7771,22638
ALB,1870,711,603
ALB,1890,953,726
ALB,1900,1092,800
ALB,1910,1243,874
ALB,1913,1293,898
ALB,1920,,932
ALB,1921,,937
ALB,1922,,942
ALB,1923,,947
ALB,1924,,952
ALB,1925,,956
ALB,1926,,962
ALB,1927,,967
ALB,1928,,972
ALB,1929,1476,977
ALB,1930,,982
ALB,1931,,988
ALB,1932,,993
ALB,1933,,998
ALB,1934,,1003
ALB,1935,,1009
ALB,1936,,1014
ALB,1937,,1030
ALB,1938,,1040
ALB,1939,,1070
ALB,1940,,1088
ALB,1941,,1100
ALB,1942,,1117
ALB,1943,,1119
ALB,1944,,1122
ALB,1945,,1138
ALB,1946,,1154
ALB,1947,,1175
ALB,1948,,1192
ALB,1949,,1209
ALB,1950,1596,1227
ALB,1951,1666,1254
ALB,1952,1667,1283
ALB,1953,1736,1315
ALB,1954,1785,1353
ALB,1955,1882,1392
ALB,1956,1902,1434
ALB,1957,2023,1477
ALB,1958,2114,1521
ALB,1959,2201,1571
ALB,1960,2313,1623
ALB,1961,2332,1677
ALB,1962,2409,1728
ALB,1963,2491,1780
ALB,1964,2576,1832
ALB,1965,2670,1884
ALB,1966,2770,1933
ALB,1967,2876,1984
ALB,1968,2979,2039
ALB,1969,3080,2100
ALB,1970,3194,2157
ALB,1971,3322,2209
ALB,1972,3451,2264
ALB,1973,3623,2296
ALB,1974,3637,2348
ALB,1975,3649,2401
ALB,1976,3665,2455
ALB,1977,3681,2509
ALB,1978,3696,2563
ALB,1979,3716,2618
ALB,1980,3741,2671
ALB,1981,3762,2724
ALB,1982,3783,2780
ALB,1983,3805,2837
ALB,1984,3826,2896
ALB,1985,3846,2957
ALB,1986,3870,3015
ALB,1987,3894,3075
ALB,1988,3920,3137
ALB,1989,3948,3196
ALB,1990,3983,3251
ALB,1991,2942,3187
ALB,1992,2842,3078
ALB,1993,3137,3072
ALB,1994,3400,3117
ALB,1995,3667,3164
ALB,1996,3966,3209
