country_code,statisticalAreaCode,statisticalArea,year,gdp
FRA,FR10,Île de France,1900,26210.0
FRA,FR21,Champagne-Ardenne,1900,4041.0
FRA,FR22,Picardie,1900,4466.0
FRA,FR23,Haute-Normandie,1900,4481.0
FRA,FR24,Centre,1900,4961.0
FRA,FR25,Basse-Normandie,1900,3229.0
FRA,FR26,Bourgogne,1900,4127.0
FRA,FR30,Nord - Pas-de-Calais,1900,8869.0
FRA,FR41,Lorraine,1900,5303.0
FRA,FR42,Alsace,1900,3201.0
FRA,FR43,Franche-Comté,1900,2241.0
FRA,FR51,Pays de la Loire,1900,5855.0
FRA,FR52,Bretagne,1900,4540.0
FRA,FR53,Poitou-Charentes,1900,3810.0
FRA,FR61,Aquitaine,1900,6081.0
FRA,FR62,Midi-Pyrénées,1900,4932.0
FRA,FR63,Limousin,1900,2055.0
FRA,FR71,Rhône-Alpes,1900,10094.0
FRA,FR72,Auvergne,1900,3366.0
FRA,FR81,Languedoc-Roussillon,1900,3969.0
FRA,FR82,Provence-Alpes-Côte d'Azur,1900,5607.0
FRA,FR83,Corse,1900,350.0
DEU,DE11,"Stuttgart, Regierungsbezirk",1900,3974.0
DEU,DE12,"Karlsruhe, Regierungsbezirk",1900,3579.0
DEU,DE13,"Freiburg, Regierungsbezirk",1900,2779.0
DEU,DE14,"Tübingen, Regierungsbezirk",1900,2124.0
DEU,DE21,"Oberbayern, Regierungsbezirk",1900,3898.0
DEU,DE22,"Niederbayern, Regierungsbezirk",1900,1426.0
DEU,DE23,"Oberpfalz, Regierungsbezirk",1900,1092.0
DEU,DE24,"Oberfranken, Regierungsbezirk",1900,1525.0
DEU,DE25,"Mittelfranken, Regierungsbezirk",1900,2381.0
DEU,DE26,"Unterfranken, Regierungsbezirk",1900,1473.0
DEU,DE27,"Schwaben, Regierungsbezirk",1900,2148.0
DEU,DE30,Berlin,1900,11095.0
DEU,DE40,Brandenburg,1900,4755.0
DEU,DE50,Bremen,1900,981.0
DEU,DE60,Hamburg,1900,4251.0
DEU,DE71+DE72,Darmstadt and Giessen,1900,5171.0
DEU,DE73,"Kassel, Regierungsbezirk",1900,1924.0
DEU,DE80,Mecklenburg-Vorpommern,1900,2910.0
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1900,4348.0
DEU,DE93,Statistische Region Lüneburg,1900,2165.0
DEU,DE94,Statistische Region Weser-Ems,1900,2373.0
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1900,8187.0
DEU,DEA2,"Köln, Regierungsbezirk",1900,5332.0
DEU,DEA3,"Münster, Regierungsbezirk",1900,2373.0
DEU,DEA4,"Detmold, Regierungsbezirk",1900,2122.0
DEU,DEA5,"Arnsberg, Regierungsbezirk",1900,5097.0
DEU,DEB1,Statistische Region Koblenz,1900,2712.0
DEU,DEB2,Statistische Region Trier,1900,987.0
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1900,2785.0
DEU,DEC0,Saarland,1900,1590.0
DEU,DED2,"Dresden, NUTS 2-Region",1900,4369.0
DEU,DED4,"Chemnitz, NUTS 2-Region",1900,5574.0
DEU,DED5,"Leipzig, NUTS 2-Region",1900,3099.0
DEU,DEE0,Sachsen-Anhalt,1900,6427.0
DEU,DEF0,Schleswig-Holstein,1900,3402.0
DEU,DEG0,Thüringen,1900,4417.0
GBR,UKI,London Counties,1900,38821.0
GBR,UKH+UKJ,Rest of SouthEast,1900,26065.0
GBR,UKK,SouthWest,1900,11092.0
GBR,UKG,West Midlands,1900,11831.0
GBR,UKF,East  Midlands,1900,9798.0
GBR,UKC+UKD,North,1900,34569.0
GBR,UKE,Yorks  & Humberside,1900,13865.0
GBR,UKL,Wales,1900,7579.0
GBR,UKM,Scotland,1900,18671.0
GBR,UKN,Northern Ireland,1900,3832.0
FRA,FR10,Île de France,1910,27297.0
FRA,FR21,Champagne-Ardenne,1910,3721.0
FRA,FR22,Picardie,1910,4023.0
FRA,FR23,Haute-Normandie,1910,5130.0
FRA,FR24,Centre,1910,4856.0
FRA,FR25,Basse-Normandie,1910,3089.0
FRA,FR26,Bourgogne,1910,4026.0
FRA,FR30,Nord - Pas-de-Calais,1910,8683.0
FRA,FR41,Lorraine,1910,6621.0
FRA,FR42,Alsace,1910,4109.0
FRA,FR43,Franche-Comté,1910,2877.0
FRA,FR51,Pays de la Loire,1910,6239.0
FRA,FR52,Bretagne,1910,4370.0
FRA,FR53,Poitou-Charentes,1910,4804.0
FRA,FR61,Aquitaine,1910,6583.0
FRA,FR62,Midi-Pyrénées,1910,5516.0
FRA,FR63,Limousin,1910,2460.0
FRA,FR71,Rhône-Alpes,1910,10604.0
FRA,FR72,Auvergne,1910,3256.0
FRA,FR81,Languedoc-Roussillon,1910,4000.0
FRA,FR82,Provence-Alpes-Côte d'Azur,1910,6436.0
FRA,FR83,Corse,1910,429.0
DEU,DE11,"Stuttgart, Regierungsbezirk",1910,5522.0
DEU,DE12,"Karlsruhe, Regierungsbezirk",1910,5397.0
DEU,DE13,"Freiburg, Regierungsbezirk",1910,3772.0
DEU,DE14,"Tübingen, Regierungsbezirk",1910,2836.0
DEU,DE21,"Oberbayern, Regierungsbezirk",1910,4887.0
DEU,DE22,"Niederbayern, Regierungsbezirk",1910,1654.0
DEU,DE23,"Oberpfalz, Regierungsbezirk",1910,1448.0
DEU,DE24,"Oberfranken, Regierungsbezirk",1910,2036.0
DEU,DE25,"Mittelfranken, Regierungsbezirk",1910,3445.0
DEU,DE26,"Unterfranken, Regierungsbezirk",1910,2250.0
DEU,DE27,"Schwaben, Regierungsbezirk",1910,2630.0
DEU,DE30,Berlin,1910,18322.0
