country_code,statisticalAreaCode,statisticalArea,year,agsh
FRA,FR10,Île de France,1900,0.079
FRA,FR21,Champagne-Ardenne,1900,0.401
FRA,FR22,Picardie,1900,0.368
FRA,FR23,Haute-Normandie,1900,0.309
FRA,FR24,Centre,1900,0.565
FRA,FR25,Basse-Normandie,1900,0.56
FRA,FR26,Bourgogne,1900,0.563
FRA,FR30,Nord - Pas-de-Calais,1900,0.225
FRA,FR41,Lorraine,1900,0.336
FRA,FR42,Alsace,1900,0.387
FRA,FR43,Franche-Comté,1900,0.54
FRA,FR51,Pays de la Loire,1900,0.597
FRA,FR52,Bretagne,1900,0.654
FRA,FR53,Poitou-Charentes,1900,0.596
FRA,FR61,Aquitaine,1900,0.599
FRA,FR62,Midi-Pyrénées,1900,0.615
FRA,FR63,Limousin,1900,0.666
FRA,FR71,Rhône-Alpes,1900,0.458
FRA,FR72,Auvergne,1900,0.628
FRA,FR81,Languedoc-Roussillon,1900,0.513
FRA,FR82,Provence-Alpes-Côte d'Azur,1900,0.354
FRA,FR83,Corse,1900,
DEU,DE11,"Stuttgart, Regierungsbezirk",1900,0.411
DEU,DE12,"Karlsruhe, Regierungsbezirk",1900,0.339
DEU,DE13,"Freiburg, Regierungsbezirk",1900,0.504
DEU,DE14,"Tübingen, Regierungsbezirk",1900,0.532
DEU,DE21,"Oberbayern, Regierungsbezirk",1900,0.396
DEU,DE22,"Niederbayern, Regierungsbezirk",1900,0.683
DEU,DE23,"Oberpfalz, Regierungsbezirk",1900,0.629
DEU,DE24,"Oberfranken, Regierungsbezirk",1900,0.477
DEU,DE25,"Mittelfranken, Regierungsbezirk",1900,0.406
DEU,DE26,"Unterfranken, Regierungsbezirk",1900,0.58
DEU,DE27,"Schwaben, Regierungsbezirk",1900,0.512
DEU,DE30,Berlin,1900,0.095
DEU,DE40,Brandenburg,1900,0.319
DEU,DE50,Bremen,1900,0.067
DEU,DE60,Hamburg,1900,0.029
DEU,DE71+DE72,Darmstadt and Giessen,1900,0.311
DEU,DE73,"Kassel, Regierungsbezirk",1900,0.464
DEU,DE80,Mecklenburg-Vorpommern,1900,0.472
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1900,0.343
DEU,DE93,Statistische Region Lüneburg,1900,0.541
DEU,DE94,Statistische Region Weser-Ems,1900,0.517
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1900,0.127
DEU,DEA2,"Köln, Regierungsbezirk",1900,0.253
DEU,DEA3,"Münster, Regierungsbezirk",1900,0.352
DEU,DEA4,"Detmold, Regierungsbezirk",1900,0.411
DEU,DEA5,"Arnsberg, Regierungsbezirk",1900,0.151
DEU,DEB1,Statistische Region Koblenz,1900,0.481
DEU,DEB2,Statistische Region Trier,1900,0.649
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1900,0.379
DEU,DEC0,Saarland,1900,0.229
DEU,DED2,"Dresden, NUTS 2-Region",1900,0.108
DEU,DED4,"Chemnitz, NUTS 2-Region",1900,0.231
DEU,DED5,"Leipzig, NUTS 2-Region",1900,0.169
DEU,DEE0,Sachsen-Anhalt,1900,0.372
DEU,DEF0,Schleswig-Holstein,1900,0.355
DEU,DEG0,Thüringen,1900,0.329
GBR,UKI,London Counties,1900,0.016
GBR,UKH+UKJ,Rest of SouthEast,1900,0.152
GBR,UKK,SouthWest,1900,0.158
GBR,UKG,West Midlands,1900,0.09
GBR,UKF,East  Midlands,1900,0.103
GBR,UKC+UKD,North,1900,0.048
GBR,UKE,Yorks  & Humberside,1900,0.057
GBR,UKL,Wales,1900,0.126
GBR,UKM,Scotland,1900,0.12
GBR,UKN,Northern Ireland,1900,0.34
FRA,FR10,Île de France,1910,0.067
FRA,FR21,Champagne-Ardenne,1910,0.382
FRA,FR22,Picardie,1910,0.396
FRA,FR23,Haute-Normandie,1910,0.238
FRA,FR24,Centre,1910,0.543
FRA,FR25,Basse-Normandie,1910,0.537
FRA,FR26,Bourgogne,1910,0.545
FRA,FR30,Nord - Pas-de-Calais,1910,0.188
FRA,FR41,Lorraine,1910,0.293
FRA,FR42,Alsace,1910,0.373
FRA,FR43,Franche-Comté,1910,0.487
FRA,FR51,Pays de la Loire,1910,0.569
FRA,FR52,Bretagne,1910,0.643
FRA,FR53,Poitou-Charentes,1910,0.528
FRA,FR61,Aquitaine,1910,0.582
FRA,FR62,Midi-Pyrénées,1910,0.569
FRA,FR63,Limousin,1910,0.658
FRA,FR71,Rhône-Alpes,1910,0.434
FRA,FR72,Auvergne,1910,0.598
FRA,FR81,Languedoc-Roussillon,1910,0.514
FRA,FR82,Provence-Alpes-Côte d'Azur,1910,0.323
FRA,FR83,Corse,1910,
DEU,DE11,"Stuttgart, Regierungsbezirk",1910,0.391
DEU,DE12,"Karlsruhe, Regierungsbezirk",1910,0.289
DEU,DE13,"Freiburg, Regierungsbezirk",1910,0.49
DEU,DE14,"Tübingen, Regierungsbezirk",1910,0.522
DEU,DE21,"Oberbayern, Regierungsbezirk",1910,0.398
DEU,DE22,"Niederbayern, Regierungsbezirk",1910,0.704
