country_code,statisticalAreaCode,statisticalArea,year,share_industry
FRA,FR10,Île de France,1900,0.467
FRA,FR21,Champagne-Ardenne,1900,0.38
FRA,FR22,Picardie,1900,0.408
FRA,FR23,Haute-Normandie,1900,0.431
FRA,FR24,Centre,1900,0.251
FRA,FR25,Basse-Normandie,1900,0.24
FRA,FR26,Bourgogne,1900,0.255
FRA,FR30,Nord - Pas-de-Calais,1900,0.556
FRA,FR41,Lorraine,1900,0.416
FRA,FR42,Alsace,1900,0.366
FRA,FR43,Franche-Comté,1900,0.291
FRA,FR51,Pays de la Loire,1900,0.236
FRA,FR52,Bretagne,1900,0.181
FRA,FR53,Poitou-Charentes,1900,0.238
FRA,FR61,Aquitaine,1900,0.222
FRA,FR62,Midi-Pyrénées,1900,0.227
FRA,FR63,Limousin,1900,0.21
FRA,FR71,Rhône-Alpes,1900,0.355
FRA,FR72,Auvergne,1900,0.227
FRA,FR81,Languedoc-Roussillon,1900,0.262
FRA,FR82,Provence-Alpes-Côte d'Azur,1900,0.313
FRA,FR83,Corse,1900,
DEU,DE11,"Stuttgart, Regierungsbezirk",1900,0.36
DEU,DE12,"Karlsruhe, Regierungsbezirk",1900,0.4
DEU,DE13,"Freiburg, Regierungsbezirk",1900,0.301
DEU,DE14,"Tübingen, Regierungsbezirk",1900,0.309
DEU,DE21,"Oberbayern, Regierungsbezirk",1900,0.291
DEU,DE22,"Niederbayern, Regierungsbezirk",1900,0.17
DEU,DE23,"Oberpfalz, Regierungsbezirk",1900,0.217
DEU,DE24,"Oberfranken, Regierungsbezirk",1900,0.358
DEU,DE25,"Mittelfranken, Regierungsbezirk",1900,0.367
DEU,DE26,"Unterfranken, Regierungsbezirk",1900,0.221
DEU,DE27,"Schwaben, Regierungsbezirk",1900,0.284
DEU,DE30,Berlin,1900,0.468
DEU,DE40,Brandenburg,1900,0.376
DEU,DE50,Bremen,1900,0.426
DEU,DE60,Hamburg,1900,0.393
DEU,DE71+DE72,Darmstadt and Giessen,1900,0.393
DEU,DE73,"Kassel, Regierungsbezirk",1900,0.305
DEU,DE80,Mecklenburg-Vorpommern,1900,0.257
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1900,0.391
DEU,DE93,Statistische Region Lüneburg,1900,0.259
DEU,DE94,Statistische Region Weser-Ems,1900,0.261
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1900,0.613
DEU,DEA2,"Köln, Regierungsbezirk",1900,0.457
DEU,DEA3,"Münster, Regierungsbezirk",1900,0.443
DEU,DEA4,"Detmold, Regierungsbezirk",1900,0.368
DEU,DEA5,"Arnsberg, Regierungsbezirk",1900,0.632
DEU,DEB1,Statistische Region Koblenz,1900,0.3
DEU,DEB2,Statistische Region Trier,1900,0.197
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1900,0.373
DEU,DEC0,Saarland,1900,0.561
DEU,DED2,"Dresden, NUTS 2-Region",1900,0.7
DEU,DED4,"Chemnitz, NUTS 2-Region",1900,0.493
DEU,DED5,"Leipzig, NUTS 2-Region",1900,0.507
DEU,DEE0,Sachsen-Anhalt,1900,0.381
DEU,DEF0,Schleswig-Holstein,1900,0.308
DEU,DEG0,Thüringen,1900,0.458
GBR,UKI,London Counties,1900,0.346
GBR,UKH+UKJ,Rest of SouthEast,1900,0.295
GBR,UKK,SouthWest,1900,0.344
GBR,UKG,West Midlands,1900,0.587
GBR,UKF,East  Midlands,1900,0.44
GBR,UKC+UKD,North,1900,0.543
GBR,UKE,Yorks  & Humberside,1900,0.579
GBR,UKL,Wales,1900,0.467
GBR,UKM,Scotland,1900,0.475
GBR,UKN,Northern Ireland,1900,0.364
FRA,FR10,Île de France,1910,0.526
FRA,FR21,Champagne-Ardenne,1910,0.43
FRA,FR22,Picardie,1910,0.388
FRA,FR23,Haute-Normandie,1910,0.566
FRA,FR24,Centre,1910,0.29
FRA,FR25,Basse-Normandie,1910,0.276
FRA,FR26,Bourgogne,1910,0.288
FRA,FR30,Nord - Pas-de-Calais,1910,0.611
FRA,FR41,Lorraine,1910,0.524
FRA,FR42,Alsace,1910,0.375
FRA,FR43,Franche-Comté,1910,0.353
FRA,FR51,Pays de la Loire,1910,0.27
FRA,FR52,Bretagne,1910,0.217
FRA,FR53,Poitou-Charentes,1910,0.344
FRA,FR61,Aquitaine,1910,0.257
FRA,FR62,Midi-Pyrénées,1910,0.295
FRA,FR63,Limousin,1910,0.224
FRA,FR71,Rhône-Alpes,1910,0.384
FRA,FR72,Auvergne,1910,0.261
FRA,FR81,Languedoc-Roussillon,1910,0.287
FRA,FR82,Provence-Alpes-Côte d'Azur,1910,0.391
FRA,FR83,Corse,1910,
DEU,DE11,"Stuttgart, Regierungsbezirk",1910,0.392
DEU,DE12,"Karlsruhe, Regierungsbezirk",1910,0.442
DEU,DE13,"Freiburg, Regierungsbezirk",1910,0.316
DEU,DE14,"Tübingen, Regierungsbezirk",1910,0.327
DEU,DE21,"Oberbayern, Regierungsbezirk",1910,0.276
DEU,DE22,"Niederbayern, Regierungsbezirk",1910,0.163
DEU,DE23,"Oberpfalz, Regierungsbezirk",1910,0.215
DEU,DE24,"Oberfranken, Regierungsbezirk",1910,0.362
DEU,DE25,"Mittelfranken, Regierungsbezirk",1910,0.386
DEU,DE26,"Unterfranken, Regierungsbezirk",1910,0.218
DEU,DE27,"Schwaben, Regierungsbezirk",1910,0.275
DEU,DE30,Berlin,1910,0.537
DEU,DE40,Brandenburg,1910,0.406
DEU,DE50,Bremen,1910,0.425
DEU,DE60,Hamburg,1910,0.407
DEU,DE71+DE72,Darmstadt and Giessen,1910,0.429
DEU,DE73,"Kassel, Regierungsbezirk",1910,0.32
DEU,DE80,Mecklenburg-Vorpommern,1910,0.26
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1910,0.392
DEU,DE93,Statistische Region Lüneburg,1910,0.273
DEU,DE94,Statistische Region Weser-Ems,1910,0.268
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1910,0.632
DEU,DEA2,"Köln, Regierungsbezirk",1910,0.489
DEU,DEA3,"Münster, Regierungsbezirk",1910,0.521
DEU,DEA4,"Detmold, Regierungsbezirk",1910,0.396
DEU,DEA5,"Arnsberg, Regierungsbezirk",1910,0.645
DEU,DEB1,Statistische Region Koblenz,1910,0.308
DEU,DEB2,Statistische Region Trier,1910,0.193
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1910,0.389
DEU,DEC0,Saarland,1910,0.577
DEU,DED2,"Dresden, NUTS 2-Region",1910,0.723
DEU,DED4,"Chemnitz, NUTS 2-Region",1910,0.506
DEU,DED5,"Leipzig, NUTS 2-Region",1910,0.545
DEU,DEE0,Sachsen-Anhalt,1910,0.394
DEU,DEF0,Schleswig-Holstein,1910,0.324
DEU,DEG0,Thüringen,1910,0.487
GBR,UKI,London Counties,1910,0.339
GBR,UKH+UKJ,Rest of SouthEast,1910,0.273
GBR,UKK,SouthWest,1910,0.325
GBR,UKG,West Midlands,1910,0.54
GBR,UKF,East  Midlands,1910,0.503
GBR,UKC+UKD,North,1910,0.542
GBR,UKE,Yorks  & Humberside,1910,0.573
GBR,UKL,Wales,1910,0.482
GBR,UKM,Scotland,1910,0.477
GBR,UKN,Northern Ireland,1910,0.346
FRA,FR10,Île de France,1925,0.493
FRA,FR21,Champagne-Ardenne,1925,0.419
FRA,FR22,Picardie,1925,0.446
FRA,FR23,Haute-Normandie,1925,0.452
FRA,FR24,Centre,1925,0.25
FRA,FR25,Basse-Normandie,1925,0.237
FRA,FR26,Bourgogne,1925,0.284
FRA,FR30,Nord - Pas-de-Calais,1925,0.619
FRA,FR41,Lorraine,1925,0.492
FRA,FR42,Alsace,1925,0.428
FRA,FR43,Franche-Comté,1925,0.358
FRA,FR51,Pays de la Loire,1925,0.248
FRA,FR52,Bretagne,1925,0.181
FRA,FR53,Poitou-Charentes,1925,0.189
FRA,FR61,Aquitaine,1925,0.231
FRA,FR62,Midi-Pyrénées,1925,0.208
FRA,FR63,Limousin,1925,0.189
FRA,FR71,Rhône-Alpes,1925,0.393
FRA,FR72,Auvergne,1925,0.233
FRA,FR81,Languedoc-Roussillon,1925,0.25
FRA,FR82,Provence-Alpes-Côte d'Azur,1925,0.299
FRA,FR83,Corse,1925,
DEU,DE11,"Stuttgart, Regierungsbezirk",1925,0.407
DEU,DE12,"Karlsruhe, Regierungsbezirk",1925,0.438
DEU,DE13,"Freiburg, Regierungsbezirk",1925,0.336
DEU,DE14,"Tübingen, Regierungsbezirk",1925,0.346
DEU,DE21,"Oberbayern, Regierungsbezirk",1925,0.329
DEU,DE22,"Niederbayern, Regierungsbezirk",1925,0.191
DEU,DE23,"Oberpfalz, Regierungsbezirk",1925,0.252
DEU,DE24,"Oberfranken, Regierungsbezirk",1925,0.411
DEU,DE25,"Mittelfranken, Regierungsbezirk",1925,0.426
DEU,DE26,"Unterfranken, Regierungsbezirk",1925,0.263
DEU,DE27,"Schwaben, Regierungsbezirk",1925,0.302
DEU,DE30,Berlin,1925,0.509
DEU,DE40,Brandenburg,1925,0.355
DEU,DE50,Bremen,1925,0.395
DEU,DE60,Hamburg,1925,0.376
DEU,DE71+DE72,Darmstadt and Giessen,1925,0.425
DEU,DE73,"Kassel, Regierungsbezirk",1925,0.322
DEU,DE80,Mecklenburg-Vorpommern,1925,0.24
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1925,0.406
DEU,DE93,Statistische Region Lüneburg,1925,0.243
DEU,DE94,Statistische Region Weser-Ems,1925,0.239
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1925,0.61
DEU,DEA2,"Köln, Regierungsbezirk",1925,0.47
DEU,DEA3,"Münster, Regierungsbezirk",1925,0.525
DEU,DEA4,"Detmold, Regierungsbezirk",1925,0.439
DEU,DEA5,"Arnsberg, Regierungsbezirk",1925,0.611
DEU,DEB1,Statistische Region Koblenz,1925,0.306
DEU,DEB2,Statistische Region Trier,1925,0.17
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1925,0.423
DEU,DEC0,Saarland,1925,0.591
