country_code,statisticalAreaCode,statisticalArea,year,share_service
FRA,FR10,Île de France,1900,0.454
FRA,FR21,Champagne-Ardenne,1900,0.219
FRA,FR22,Picardie,1900,0.225
FRA,FR23,Haute-Normandie,1900,0.261
FRA,FR24,Centre,1900,0.185
FRA,FR25,Basse-Normandie,1900,0.198
FRA,FR26,Bourgogne,1900,0.182
FRA,FR30,Nord - Pas-de-Calais,1900,0.22
FRA,FR41,Lorraine,1900,0.249
FRA,FR42,Alsace,1900,0.247
FRA,FR43,Franche-Comté,1900,0.169
FRA,FR51,Pays de la Loire,1900,0.167
FRA,FR52,Bretagne,1900,0.164
FRA,FR53,Poitou-Charentes,1900,0.167
FRA,FR61,Aquitaine,1900,0.179
FRA,FR62,Midi-Pyrénées,1900,0.157
FRA,FR63,Limousin,1900,0.126
FRA,FR71,Rhône-Alpes,1900,0.187
FRA,FR72,Auvergne,1900,0.145
FRA,FR81,Languedoc-Roussillon,1900,0.225
FRA,FR82,Provence-Alpes-Côte d'Azur,1900,0.333
FRA,FR83,Corse,1900,
DEU,DE11,"Stuttgart, Regierungsbezirk",1900,0.23
DEU,DE12,"Karlsruhe, Regierungsbezirk",1900,0.261
DEU,DE13,"Freiburg, Regierungsbezirk",1900,0.195
DEU,DE14,"Tübingen, Regierungsbezirk",1900,0.159
DEU,DE21,"Oberbayern, Regierungsbezirk",1900,0.313
DEU,DE22,"Niederbayern, Regierungsbezirk",1900,0.146
DEU,DE23,"Oberpfalz, Regierungsbezirk",1900,0.153
DEU,DE24,"Oberfranken, Regierungsbezirk",1900,0.166
DEU,DE25,"Mittelfranken, Regierungsbezirk",1900,0.227
DEU,DE26,"Unterfranken, Regierungsbezirk",1900,0.199
DEU,DE27,"Schwaben, Regierungsbezirk",1900,0.204
DEU,DE30,Berlin,1900,0.436
DEU,DE40,Brandenburg,1900,0.305
DEU,DE50,Bremen,1900,0.507
DEU,DE60,Hamburg,1900,0.578
DEU,DE71+DE72,Darmstadt and Giessen,1900,0.296
DEU,DE73,"Kassel, Regierungsbezirk",1900,0.231
DEU,DE80,Mecklenburg-Vorpommern,1900,0.271
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1900,0.266
DEU,DE93,Statistische Region Lüneburg,1900,0.2
DEU,DE94,Statistische Region Weser-Ems,1900,0.222
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1900,0.26
DEU,DEA2,"Köln, Regierungsbezirk",1900,0.29
DEU,DEA3,"Münster, Regierungsbezirk",1900,0.205
DEU,DEA4,"Detmold, Regierungsbezirk",1900,0.221
DEU,DEA5,"Arnsberg, Regierungsbezirk",1900,0.217
DEU,DEB1,Statistische Region Koblenz,1900,0.218
DEU,DEB2,Statistische Region Trier,1900,0.154
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1900,0.248
DEU,DEC0,Saarland,1900,0.21
DEU,DED2,"Dresden, NUTS 2-Region",1900,0.192
DEU,DED4,"Chemnitz, NUTS 2-Region",1900,0.276
DEU,DED5,"Leipzig, NUTS 2-Region",1900,0.324
DEU,DEE0,Sachsen-Anhalt,1900,0.247
DEU,DEF0,Schleswig-Holstein,1900,0.337
DEU,DEG0,Thüringen,1900,0.214
GBR,UKI,London Counties,1900,0.638
GBR,UKH+UKJ,Rest of SouthEast,1900,0.552
GBR,UKK,SouthWest,1900,0.498
GBR,UKG,West Midlands,1900,0.323
GBR,UKF,East  Midlands,1900,0.457
GBR,UKC+UKD,North,1900,0.41
GBR,UKE,Yorks  & Humberside,1900,0.364
GBR,UKL,Wales,1900,0.407
GBR,UKM,Scotland,1900,0.406
GBR,UKN,Northern Ireland,1900,0.296
FRA,FR10,Île de France,1910,0.406
FRA,FR21,Champagne-Ardenne,1910,0.187
FRA,FR22,Picardie,1910,0.216
FRA,FR23,Haute-Normandie,1910,0.196
FRA,FR24,Centre,1910,0.165
FRA,FR25,Basse-Normandie,1910,0.187
FRA,FR26,Bourgogne,1910,0.166
FRA,FR30,Nord - Pas-de-Calais,1910,0.201
FRA,FR41,Lorraine,1910,0.183
FRA,FR42,Alsace,1910,0.254
FRA,FR43,Franche-Comté,1910,0.158
FRA,FR51,Pays de la Loire,1910,0.16
FRA,FR52,Bretagne,1910,0.139
FRA,FR53,Poitou-Charentes,1910,0.127
FRA,FR61,Aquitaine,1910,0.162
FRA,FR62,Midi-Pyrénées,1910,0.135
FRA,FR63,Limousin,1910,0.116
FRA,FR71,Rhône-Alpes,1910,0.183
FRA,FR72,Auvergne,1910,0.142
FRA,FR81,Languedoc-Roussillon,1910,0.197
FRA,FR82,Provence-Alpes-Côte d'Azur,1910,0.284
FRA,FR83,Corse,1910,
DEU,DE11,"Stuttgart, Regierungsbezirk",1910,0.217
DEU,DE12,"Karlsruhe, Regierungsbezirk",1910,0.268
DEU,DE13,"Freiburg, Regierungsbezirk",1910,0.195
DEU,DE14,"Tübingen, Regierungsbezirk",1910,0.151
DEU,DE21,"Oberbayern, Regierungsbezirk",1910,0.325
DEU,DE22,"Niederbayern, Regierungsbezirk",1910,0.133
DEU,DE23,"Oberpfalz, Regierungsbezirk",1910,0.149
DEU,DE24,"Oberfranken, Regierungsbezirk",1910,0.163
DEU,DE25,"Mittelfranken, Regierungsbezirk",1910,0.224
DEU,DE26,"Unterfranken, Regierungsbezirk",1910,0.196
DEU,DE27,"Schwaben, Regierungsbezirk",1910,0.19
DEU,DE30,Berlin,1910,0.45
DEU,DE40,Brandenburg,1910,0.334
DEU,DE50,Bremen,1910,0.505
DEU,DE60,Hamburg,1910,0.569
DEU,DE71+DE72,Darmstadt and Giessen,1910,0.302
DEU,DE73,"Kassel, Regierungsbezirk",1910,0.218
DEU,DE80,Mecklenburg-Vorpommern,1910,0.274
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1910,0.261
DEU,DE93,Statistische Region Lüneburg,1910,0.186
DEU,DE94,Statistische Region Weser-Ems,1910,0.212
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1910,0.267
DEU,DEA2,"Köln, Regierungsbezirk",1910,0.294
DEU,DEA3,"Münster, Regierungsbezirk",1910,0.187
DEU,DEA4,"Detmold, Regierungsbezirk",1910,0.204
DEU,DEA5,"Arnsberg, Regierungsbezirk",1910,0.223
DEU,DEB1,Statistische Region Koblenz,1910,0.206
DEU,DEB2,Statistische Region Trier,1910,0.125
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1910,0.238
DEU,DEC0,Saarland,1910,0.227
DEU,DED2,"Dresden, NUTS 2-Region",1910,0.2
DEU,DED4,"Chemnitz, NUTS 2-Region",1910,0.293
DEU,DED5,"Leipzig, NUTS 2-Region",1910,0.329
DEU,DEE0,Sachsen-Anhalt,1910,0.242
DEU,DEF0,Schleswig-Holstein,1910,0.344
DEU,DEG0,Thüringen,1910,0.21
GBR,UKI,London Counties,1910,0.638
