country,kind,key,harmonized,nutsCode
GBR,state,Alderney,Extra-Regio NUTS 1,UKZ
GBR,state,Bailiwick of Guernsey,Extra-Regio NUTS 1,UKZ
GBR,state,Bailiwick of Jersey,Extra-Regio NUTS 1,UKZ
GBR,state,Castel,Extra-Regio NUTS 1,UKZ
GBR,state,Cymru,Wales,UKL
GBR,state,Douglas,Extra-Regio NUTS 1,UKZ
GBR,state,England,England,
GBR,state,Isle of Man,Extra-Regio NUTS 1,UKZ
GBR,state,Le Valle,,
GBR,state,Northern Ireland,Northern Ireland,UKN
GBR,state,Saint Martin,England,
GBR,state,Saint Peter Port,Extra-Regio NUTS 1,UKZ
GBR,state,Saint Sampson,Extra-Regio NUTS 1,UKZ
GBR,state,Saint-Pierre-Port,Extra-Regio NUTS 1,UKZ
GBR,state,Scotland,Scotland,UKM
GBR,state,St Brelade,Extra-Regio NUTS 1,UKZ
GBR,state,St Helier,Extra-Regio NUTS 1,UKZ
GBR,state,St Mary,England,
GBR,state,St Peter,Extra-Regio NUTS 1,UKZ
GBR,state,Wales,Wales,
GBR,county,"Armagh City, Banbridge and Craigavon",Northern Ireland,UKN0
GBR,county,"Isle of Arran,",Southern Scotland,UKM9
GBR,county,"Lydney, Glos","Gloucestershire, Wiltshire and Bristol/Bath area",UKK1
GBR,county,"Newry, Mourne and Down",Northern Ireland,UKN0
GBR,county,"Unst, Shetland",Highlands and Islands,UKM6
GBR,county,Aberdeen City,North Eastern Scotland,UKM5
GBR,county,Aberdeenshire,North Eastern Scotland,UKM5
GBR,county,Angus Council,Eastern Scotland,UKM7
GBR,county,Angus,Eastern Scotland,UKM7
GBR,county,Antrim and Newtownabbey,Northern Ireland,UKN0
GBR,county,Ards and North Down,Northern Ireland,UKN0
GBR,county,Argyll and Bute Council,Highlands and Islands,UKM6
GBR,county,Argyll,Highlands and Islands,UKM6
GBR,county,Avon,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1
GBR,county,Ayrshire,Southern Scotland,UKM9
GBR,county,Banffshire,Highlands and Islands,UKM6
