name,year,value
foreign_born_share,1850,9.7
foreign_born_share,1860,13.2
foreign_born_share,1870,14.4
foreign_born_share,1880,13.3
foreign_born_share,1890,14.8
foreign_born_share,1900,13.6
foreign_born_share,1910,14.7
foreign_born_share,1920,13.2
foreign_born_share,1930,11.6
foreign_born_share,1940,8.8
foreign_born_share,1950,6.9
foreign_born_share,1960,5.4
foreign_born_share,1970,4.7
foreign_born_share,1980,6.2
foreign_born_share,1990,7.9
foreign_born_share,2000,11.1
foreign_born_population,1850,2244602.0
foreign_born_population,1860,4138697.0
foreign_born_population,1870,5567229.0
foreign_born_population,1880,6679943.0
foreign_born_population,1890,9249547.0
foreign_born_population,1900,10341276.0
foreign_born_population,1910,13515886.0
foreign_born_population,1920,13920692.0
foreign_born_population,1930,14204149.0
foreign_born_population,1940,11594896.0
foreign_born_population,1950,10347395.0
foreign_born_population,1960,9738091.0
foreign_born_population,1970,9619302.0
foreign_born_population,1980,14079906.0
foreign_born_population,1990,19767316.0
foreign_born_population,2000,31107889.0
total_population,1850,20947274.0
total_population,1860,27304624.0
total_population,1870,32991142.0
total_population,1880,43475840.0
total_population,1890,53372703.0
total_population,1900,65653299.0
total_population,1910,78456380.0
total_population,1920,91789928.0
total_population,1930,108570897.0
total_population,1940,120074379.0
total_population,1950,139868715.0
total_population,1960,169587580.0
total_population,1970,193590856.0
total_population,1980,212465899.0
total_population,1990,228942557.0
total_population,2000,250314017.0
