name,level,year,value
Africa,7,2000,881300.0
Africa,7,1990,363819.0
Africa,7,1980,199723.0
Africa,7,1970,80143.0
Africa,7,1960,35355.0
Africa,7,1950,
Africa,7,1940,
Africa,7,1930,18326.0
Africa,7,1920,16126.0
Africa,7,1910,3992.0
Africa,7,1900,2538.0
Africa,7,1890,2207.0
Africa,7,1880,2204.0
Africa,7,1870,2657.0
Africa,7,1860,52600.0
Africa,7,1850,55100.0
Africa excl. Atlantic Islands,6,2000,854694.0
Africa excl. Atlantic Islands,6,1990,349451.0
Africa excl. Atlantic Islands,6,1980,189266.0
Africa excl. Atlantic Islands,6,1970,61463.0
Africa excl. Atlantic Islands,6,1960,27053.0
Africa excl. Atlantic Islands,6,1950,
Africa excl. Atlantic Islands,6,1940,
Africa excl. Atlantic Islands,6,1930,8859.0
Africa excl. Atlantic Islands,6,1920,5781.0
Africa excl. Atlantic Islands,6,1910,3992.0
Africa excl. Atlantic Islands,6,1900,2538.0
Africa excl. Atlantic Islands,6,1890,2207.0
Africa excl. Atlantic Islands,6,1880,2204.0
Africa excl. Atlantic Islands,6,1870,2657.0
Africa excl. Atlantic Islands,6,1860,52600.0
Africa excl. Atlantic Islands,6,1850,55100.0
Albania,1,2000,3866300.0
Albania,1,1990,562700.0
Albania,1,1980,738100.0
Albania,1,1970,918000.0
Albania,1,1960,961800.0
Albania,1,1950,
Albania,1,1940,
Albania,1,1930,881400.0
Albania,1,1920,560800.0
Albania,1,1910,
Albania,1,1900,
Albania,1,1890,
Albania,1,1880,
Albania,1,1870,
Albania,1,1860,
Albania,1,1850,
Armenia,1,2000,
Armenia,1,1990,
Armenia,1,1980,
Armenia,1,1970,
Armenia,1,1960,
Armenia,1,1950,
Armenia,1,1940,
Armenia,1,1930,32166.0
Armenia,1,1920,36628.0
Armenia,1,1910,
Armenia,1,1900,
Armenia,1,1890,
Armenia,1,1880,
Armenia,1,1870,
Armenia,1,1860,
Armenia,1,1850,
Asia,7,2000,8226254.0
Asia,7,1990,4979037.0
Asia,7,1980,2539777.0
Asia,7,1970,824887.0
Asia,7,1960,490996.0
Asia,7,1950,
Asia,7,1940,
Asia,7,1930,275665.0
Asia,7,1920,237950.0
Asia,7,1910,191484.0
Asia,7,1900,120248.0
Asia,7,1890,113383.0
Asia,7,1880,107630.0
Asia,7,1870,64565.0
Asia,7,1860,36796.0
Asia,7,1850,1135.0
Atlantic Islands,6,2000,26606.0
Atlantic Islands,6,1990,14368.0
Atlantic Islands,6,1980,10457.0
Atlantic Islands,6,1970,18680.0
Atlantic Islands,6,1960,8302.0
Atlantic Islands,6,1950,
Atlantic Islands,6,1940,
Atlantic Islands,6,1930,9467.0
Atlantic Islands,6,1920,10345.0
Atlantic Islands,6,1910,
Atlantic Islands,6,1900,
