origin_country,destination_country,common_language
AUS,AUS,0
AUS,AUT,0
AUS,BEL,0
AUS,CAN,1
AUS,CHE,0
AUS,CZE,0
AUS,DNK,0
AUS,FRA,0
AUS,GBR,1
AUS,HUN,0
AUS,ITA,0
AUS,JPN,0
AUS,NLD,0
AUS,POL,0
AUS,RUS,0
AUS,SWE,0
AUS,USA,1
AUT,AUS,0
AUT,AUT,0
AUT,BEL,1
AUT,CAN,0
AUT,CHE,1
AUT,CZE,0
AUT,DNK,0
AUT,FRA,0
AUT,GBR,0
AUT,HUN,0
AUT,ITA,0
AUT,JPN,0
AUT,NLD,0
AUT,POL,0
AUT,RUS,0
AUT,SWE,0
AUT,USA,0
BEL,AUS,0
BEL,AUT,1
BEL,BEL,0
BEL,CAN,1
BEL,CHE,1
BEL,CZE,0
BEL,DNK,0
BEL,FRA,1
BEL,GBR,0
BEL,HUN,0
BEL,ITA,0
BEL,JPN,0
BEL,NLD,1
BEL,POL,0
BEL,RUS,0
BEL,SWE,0
BEL,USA,0
CAN,AUS,1
CAN,AUT,0
CAN,BEL,1
CAN,CAN,0
CAN,CHE,1
CAN,CZE,0
CAN,DNK,0
CAN,FRA,1
CAN,GBR,1
CAN,HUN,0
CAN,ITA,0
CAN,JPN,0
CAN,NLD,0
CAN,POL,0
CAN,RUS,0
CAN,SWE,0
CAN,USA,1
CHE,AUS,0
CHE,AUT,1
CHE,BEL,1
CHE,CAN,1
CHE,CHE,0
CHE,CZE,0
CHE,DNK,0
CHE,FRA,1
CHE,GBR,0
CHE,HUN,0
CHE,ITA,1
CHE,JPN,0
CHE,NLD,0
CHE,POL,0
CHE,RUS,0
CHE,SWE,0
CHE,USA,0
CZE,AUS,0
CZE,AUT,0
CZE,BEL,0
CZE,CAN,0
CZE,CHE,0
CZE,CZE,0
CZE,DNK,0
CZE,FRA,0
CZE,GBR,0
CZE,HUN,0
CZE,ITA,0
CZE,JPN,0
CZE,NLD,0
CZE,POL,0
CZE,RUS,0
CZE,SWE,0
CZE,USA,0
DNK,AUS,0
DNK,AUT,0
DNK,BEL,0
DNK,CAN,0
DNK,CHE,0
DNK,CZE,0
DNK,DNK,0
DNK,FRA,0
DNK,GBR,0
DNK,HUN,0
DNK,ITA,0
DNK,JPN,0
DNK,NLD,0
DNK,POL,0
DNK,RUS,0
DNK,SWE,0
DNK,USA,0
FRA,AUS,0
FRA,AUT,0
FRA,BEL,1
FRA,CAN,1
FRA,CHE,1
FRA,CZE,0
FRA,DNK,0
FRA,FRA,0
FRA,GBR,0
FRA,HUN,0
FRA,ITA,0
FRA,JPN,0
FRA,NLD,0
FRA,POL,0
FRA,RUS,0
FRA,SWE,0
FRA,USA,0
GBR,AUS,1
GBR,AUT,0
GBR,BEL,0
GBR,CAN,1
GBR,CHE,0
GBR,CZE,0
GBR,DNK,0
GBR,FRA,0
GBR,GBR,0
GBR,HUN,0
