nutsCode,nuts1,nuts2,nuts3,level
DE1,Baden-Württemberg,,,1
DE11,Baden-Württemberg,Stuttgart,,2
DE111,Baden-Württemberg,Stuttgart,"Stuttgart, Stadtkreis",3
DE112,Baden-Württemberg,Stuttgart,Böblingen,3
DE113,Baden-Württemberg,Stuttgart,Esslingen,3
DE114,Baden-Württemberg,Stuttgart,Göppingen,3
DE115,Baden-Württemberg,Stuttgart,Ludwigsburg,3
DE116,Baden-Württemberg,Stuttgart,Rems-Murr-Kreis,3
DE117,Baden-Württemberg,Stuttgart,"Heilbronn, Stadtkreis",3
DE118,Baden-Württemberg,Stuttgart,"Heilbronn, Landkreis",3
DE119,Baden-Württemberg,Stuttgart,Hohenlohekreis,3
DE11A,Baden-Württemberg,Stuttgart,Schwäbisch Hall,3
DE11B,Baden-Württemberg,Stuttgart,Main-Tauber-Kreis,3
DE11C,Baden-Württemberg,Stuttgart,Heidenheim,3
DE11D,Baden-Württemberg,Stuttgart,Ostalbkreis,3
DE12,Baden-Württemberg,Karlsruhe,,2
DE121,Baden-Württemberg,Karlsruhe,"Baden-Baden, Stadtkreis",3
DE122,Baden-Württemberg,Karlsruhe,"Karlsruhe, Stadtkreis",3
DE123,Baden-Württemberg,Karlsruhe,"Karlsruhe, Landkreis",3
DE124,Baden-Württemberg,Karlsruhe,Rastatt,3
DE125,Baden-Württemberg,Karlsruhe,"Heidelberg, Stadtkreis",3
DE126,Baden-Württemberg,Karlsruhe,"Mannheim, Stadtkreis",3
DE127,Baden-Württemberg,Karlsruhe,Neckar-Odenwald-Kreis,3
DE128,Baden-Württemberg,Karlsruhe,Rhein-Neckar-Kreis,3
DE129,Baden-Württemberg,Karlsruhe,"Pforzheim, Stadtkreis",3
DE12A,Baden-Württemberg,Karlsruhe,Calw,3
DE12B,Baden-Württemberg,Karlsruhe,Enzkreis,3
DE12C,Baden-Württemberg,Karlsruhe,Freudenstadt,3
DE13,Baden-Württemberg,Freiburg,,2
DE131,Baden-Württemberg,Freiburg,"Freiburg im Breisgau, Stadtkreis",3
DE132,Baden-Württemberg,Freiburg,Breisgau-Hochschwarzwald,3
DE133,Baden-Württemberg,Freiburg,Emmendingen,3
DE134,Baden-Württemberg,Freiburg,Ortenaukreis,3
DE135,Baden-Württemberg,Freiburg,Rottweil,3
DE136,Baden-Württemberg,Freiburg,Schwarzwald-Baar-Kreis,3
DE137,Baden-Württemberg,Freiburg,Tuttlingen,3
DE138,Baden-Württemberg,Freiburg,Konstanz,3
DE139,Baden-Württemberg,Freiburg,Lörrach,3
DE13A,Baden-Württemberg,Freiburg,Waldshut,3
DE14,Baden-Württemberg,Tübingen,,2
DE141,Baden-Württemberg,Tübingen,Reutlingen,3
DE142,Baden-Württemberg,Tübingen,"Tübingen, Landkreis",3
DE143,Baden-Württemberg,Tübingen,Zollernalbkreis,3
DE144,Baden-Württemberg,Tübingen,"Ulm, Stadtkreis",3
DE145,Baden-Württemberg,Tübingen,Alb-Donau-Kreis,3
DE146,Baden-Württemberg,Tübingen,Biberach,3
DE147,Baden-Württemberg,Tübingen,Bodenseekreis,3
DE148,Baden-Württemberg,Tübingen,Ravensburg,3
DE149,Baden-Württemberg,Tübingen,Sigmaringen,3
