statisticalAreaCode,statisticalArea,year,population
DE11,Stuttgart,1900,1313000.0
DE12,Karlsruhe,1900,840000.0
DE13,Freiburg,1900,903000.0
DE14,Tübingen,1900,799000.0
DE21,Oberbayern,1900,1249000.0
DE22,Niederbayern,1900,682000.0
DE23,Oberpfalz,1900,557000.0
DE24,Oberfranken,1900,674000.0
DE25,Mittelfranken,1900,787000.0
DE26,Unterfranken,1900,657000.0
DE27,Schwaben,1900,754000.0
DE30,Berlin,1900,2605000.0
DE40,Brandenburg,1900,1729000.0
DE50,Bremen,1900,222000.0
DE60,Hamburg,1900,969000.0
DE71+DE72,Darmstadt and Gießen,1900,1791000.0
DE73,Kassel,1900,709000.0
DE80,Mecklenburg-Vorpommern,1900,1357000.0
DE91+DE92,Braunschweig und Hannover,1900,1676000.0
DE93,Lüneburg,1900,808000.0
DE94,Weser-Ems,1900,883000.0
DEA1,Düsseldorf,1900,2518000.0
DEA2,Köln,1900,1558000.0
DEA3,Münster,1900,729000.0
DEA4,Detmold,1900,760000.0
DEA5,Arnsberg,1900,1721000.0
DEB1,Koblenz,1900,883000.0
DEB2,Trier,1900,352000.0
DEB3,Rheinhessen-Pfalz,1900,1060000.0
DEC0,Saarland,1900,543000.0
DED2,Dresden,1900,1502000.0
DED4,Chemnitz,1900,1830000.0
DED5,Leipzig,1900,1022000.0
DEE0,Sachsen-Anhalt,1900,2672000.0
DEF0,Schleswig-Holstein,1900,1210000.0
DEG0,Thüringen,1900,1881000.0
DE11,Stuttgart,1910,1494000.0
DE12,Karlsruhe,1910,1048000.0
DE13,Freiburg,1910,1027000.0
DE14,Tübingen,1910,895000.0
DE21,Oberbayern,1910,1467000.0
DE22,Niederbayern,1910,711000.0
DE23,Oberpfalz,1910,587000.0
DE24,Oberfranken,1910,736000.0
DE25,Mittelfranken,1910,924000.0
DE26,Unterfranken,1910,715000.0
DE27,Schwaben,1910,825000.0
DE30,Berlin,1910,3632000.0
DE40,Brandenburg,1910,1879000.0
DE50,Bremen,1910,298000.0
DE60,Hamburg,1910,1256000.0
DE71+DE72,Darmstadt and Gießen,1910,2169000.0
DE73,Kassel,1910,790000.0
DE80,Mecklenburg-Vorpommern,1910,1431000.0
DE91+DE92,Braunschweig und Hannover,1910,1901000.0
DE93,Lüneburg,1910,916000.0
DE94,Weser-Ems,1910,1009000.0
DEA1,Düsseldorf,1910,3419000.0
DEA2,Köln,1910,1869000.0
DEA3,Münster,1910,1019000.0
DEA4,Detmold,1910,879000.0
DEA5,Arnsberg,1910,2368000.0
DEB1,Koblenz,1910,974000.0
DEB2,Trier,1910,388000.0
DEB3,Rheinhessen-Pfalz,1910,1197000.0
DEC0,Saarland,1910,710000.0
DED2,Dresden,1910,1778000.0
DED4,Chemnitz,1910,2106000.0
DED5,Leipzig,1910,1230000.0
DEE0,Sachsen-Anhalt,1910,2924000.0
DEF0,Schleswig-Holstein,1910,1388000.0
DEG0,Thüringen,1910,2116000.0
DE11,Stuttgart,1925,1686000.0
DE12,Karlsruhe,1925,1194000.0
DE13,Freiburg,1925,1118000.0
DE14,Tübingen,1925,966000.0
DE21,Oberbayern,1925,1664000.0
DE22,Niederbayern,1925,756000.0
DE23,Oberpfalz,1925,629000.0
DE24,Oberfranken,1925,758000.0
DE25,Mittelfranken,1925,998000.0
DE26,Unterfranken,1925,763000.0
DE27,Schwaben,1925,880000.0
DE30,Berlin,1925,4024000.0
DE40,Brandenburg,1925,2049000.0
DE50,Bremen,1925,411000.0
DE60,Hamburg,1925,1483000.0
DE71+DE72,Darmstadt and Gießen,1925,2317000.0
DE73,Kassel,1925,867000.0
DE80,Mecklenburg-Vorpommern,1925,1516000.0
DE91+DE92,Braunschweig und Hannover,1925,1977000.0
DE93,Lüneburg,1925,876000.0
DE94,Weser-Ems,1925,1162000.0
DEA1,Düsseldorf,1925,3866000.0
DEA2,Köln,1925,2123000.0
DEA3,Münster,1925,1492000.0
DEA4,Detmold,1925,970000.0
DEA5,Arnsberg,1925,2513000.0
DEB1,Koblenz,1925,1006000.0
DEB2,Trier,1925,417000.0
DEB3,Rheinhessen-Pfalz,1925,1316000.0
DEC0,Saarland,1925,805000.0
DED2,Dresden,1925,1831000.0
DED4,Chemnitz,1925,2163000.0
DED5,Leipzig,1925,1307000.0
DEE0,Sachsen-Anhalt,1925,3058000.0
DEF0,Schleswig-Holstein,1925,1470000.0
DEG0,Thüringen,1925,1905000.0
DE11,Stuttgart,1933,
DE12,Karlsruhe,1933,
DE13,Freiburg,1933,
DE14,Tübingen,1933,
DE21,Oberbayern,1933,
DE22,Niederbayern,1933,
DE23,Oberpfalz,1933,
DE24,Oberfranken,1933,
DE25,Mittelfranken,1933,
DE26,Unterfranken,1933,
DE27,Schwaben,1933,
DE30,Berlin,1933,
DE40,Brandenburg,1933,
DE50,Bremen,1933,
DE60,Hamburg,1933,
DE71+DE72,Darmstadt and Gießen,1933,
DE73,Kassel,1933,
DE80,Mecklenburg-Vorpommern,1933,
DE91+DE92,Braunschweig und Hannover,1933,
