statisticalAreaCode ,statisticalArea ,year ,population_raw,population
UKC1,Tees Valley and Durham,1851,172970,410533.694066001
UKC2,Northumberland and Tyne and Wear,1851,484653,498587.41346968
UKD1,Cumbria,1851,288795,299362.263955848
UKD3,Greater Manchester,1851,1051730,1082972.96131297
UKD4,Lancashire,1851,460379,595812.361379772
UKD6,Cheshire,1851,325651,284321.793107613
UKD7,Merseyside,1851,523454,587342.886326042
UKE1,East Yorkshire and Northern Lincolnshire,1851,135820,439494.517601781
UKE2,North Yorkshire,1851,370126,515251.313421354
UKE3,South Yorkshire,1851,288902,297518.452285122
UKE4,West Yorkshire,1851,855367,885723.139817574
UKF1,Derbyshire and Nottinghamshire,1851,459104,631396.411618245
UKF2,Leicestershire  Rutland and Northamptonshire,1851,381863,494192.8639199
UKF3,Lincolnshire,1851,352743,367345.844104738
UKG1,Herefordshire  Worcestershire and Warwickshire,1851,481593,492000.707269155
UKG2,Shropshire and Staffordshire,1851,503719,708601.66856196
UKG3,West Midlands,1851,612139,632272.354210333
UKH1,East Anglia,1851,1025092,1154591.33481076
UKH2,Bedfordshire and Hertfordshire,1851,213644,294259.370291948
UKH3,Essex,1851,306930,389292.39833147
UKI3,Inner London - West,1851,938000,961543.304929536
UKI4,Inner London - East,1851,1294000,1322769.69032404
UKI5,Outer London - East and North East,1851,160000,161685.119888326
UKI6,Outer London - South,1851,67000,67568.0267868603
UKI7,Outer London - West and North West,1851,115000,116036.064287543
UKJ1,Berkshire  Buckinghamshire and Oxfordshire,1851,573684,665393.1778217
UKJ2,Surrey  East and West Sussex,1851,407202,476506.318092142
UKJ3,Hampshire and Isle of Wight,1851,288138,401509.038315836
UKJ4,Kent,1851,412416,513289.826915485
UKK1,Gloucestershire  Wiltshire and Bath/Bristol area,1851,620542,999853.123208322
UKK2,Dorset and Somerset,1851,474807,666659.129003354
UKK3,Cornwall and Isles of Scilly,1851,354137,371263.886191852
UKK4,Devon,1851,450642,770663.176707311
UKL1,West Wales and The Valleys,1851,599026,803869.304672636
