statisticalAreaCode,statisticalArea,year,population
00100,Johnson City,1830,72947.05724088941
00200,Morristown,1830,33786.94859807938
00301,Middlesborough,1830,12421.774783119561
00302,Knoxville,1830,51148.57383068907
00401,Winston-Salem,1830,37863.43620970423
00402,Martinsville,1830,14203.567240722481
00500,Greensboro,1830,109334.70269220973
00601,North Wilkesboro,1830,12650.492997927473
00602,Galax,1830,9641.929527681319
00700,Spartanburg,1830,44706.89761769213
00800,Gastonia,1830,28346.1802047044
00900,Charlotte,1830,104945.4060050361
01001,Boone,1830,7574.923651155084
01002,Morganton,1830,13497.64383289742
01100,Hickory,1830,28064.76150164381
01201,Franklin,1830,4429.96606785059
01202,Sylva,1830,4957.969047397375
01203,Asheville,1830,17926.905661622062
01204,Andrews,1830,4184.4928021878
01301,Bennettsville,1830,17054.0
01302,Florence,1830,59041.12475416577
01400,Fayetteville,1830,40188.71563446522
01500,Wilmington,1830,28306.44041966312
01600,Rocky Mount,1830,25055.84372918494
01701,Raleigh,1830,102739.60841664301
01702,Henderson,1830,16724.8071536161
01800,Goldsboro,1830,32972.16274145991
01900,Jacksonville,1830,60307.47143889003
02000,Virginia Beach,1830,89200.12103496258
02100,Washington,1830,36153.40700709168
02200,South Boston,1830,124876.37183677687
02300,Lynchburg,1830,58846.170493373655
02400,Richmond,1830,170010.9994927572
02500,Newport News,1830,71909.00005887801
02600,Roanoke Rapids,1830,59045.99984092265
02700,Gulfport,1830,5900.5532620092845
02800,Laurel,1830,4336.720025349408
02900,Hattiesburg,1830,7490.043005225249
03001,Kosciusko,1830,2279.553687598556
03002,Yazoo City,1830,4697.601455643773
03003,Jackson,1830,24152.89011463895
03101,McComb,1830,26277.566758543253
03102,Brookhaven,1830,6342.9465463291845
03201,Jena,1830,1987.325296238065
03202,Natchez,1830,22305.24501746893
03203,Vicksburg,1830,28242.82495384663
03300,New Orleans,1830,84250.75877924645
03400,Houma,1830,18942.64863414942
03500,Baton Rouge,1830,52048.59522171271
03600,Alexandria,1830,8692.347265754264
03700,Lake Charles,1830,12550.960742574187
03800,Lafayette,1830,17187.061229891493
03901,Monroe,1830,4349.185659327953
03902,Lake Providence,1830,823.3926901221275
04001,Magnolia,1830,407.06177520751953
04002,Shreveport,1830,6498.584717350544
04003,Ruston,1830,2154.614954404533
04004,Many,1830,1423.6081143468618
04101,Crossett,1830,333.0525041371584
04102,Pine Bluff,1830,2677.063230022788
04103,El Dorado,1830,543.0725833919132
04200,Little Rock,1830,2312.176635638331
04301,Stuttgart,1830,1309.009900078178
04302,Searcy,1830,1183.67032783851
04401,Corbin,1830,9619.313188730272
04402,Richmond,1830,24651.13393222913
04501,West Liberty,1830,7189.911487297155
04502,Hazard,1830,5834.781728093512
04601,Campbellsville,1830,28153.98013218166
04602,Somerset,1830,24842.23447111249
04701,Greenwood,1830,
04702,Clarksdale,1830,
04800,Greenville,1830,2180.97059558332
04901,Jackson,1830,32468.265541593537
04902,Dyersburg,1830,9156.617228514748
04903,Lexington,1830,15159.100210715169
05000,Tupelo,1830,3861.0
05100,Corinth,1830,9292.771607036586
05201,New Albany,1830,
05202,Memphis,1830,17381.953810757957
05300,West Memphis,1830,2865.022964663778
05401,Bowling Green,1830,38968.91393609298
05402,Glasgow,1830,36102.5512293689
05500,Columbia,1830,64316.35595067002
05600,Nashville,1830,159796.3037520176
05700,Tullahoma,1830,40551.99150676216
05800,Dickson,1830,34802.54517180286
05900,Clarksville,1830,48381.00244725123
