country_code,statisticalAreaCode,statisticalArea,year,population_raw,population
UK,UKC1,Tees Valley and Durham,1851,172970,410533.694066001
UK,UKC2,Northumberland and Tyne and Wear,1851,484653,498587.41346968
UK,UKD1,Cumbria,1851,288795,299362.263955848
UK,UKD3,Greater Manchester,1851,1051730,1082972.96131297
UK,UKD4,Lancashire,1851,460379,595812.361379772
UK,UKD6,Cheshire,1851,325651,284321.793107613
UK,UKD7,Merseyside,1851,523454,587342.886326042
UK,UKE1,East Yorkshire and Northern Lincolnshire,1851,135820,439494.517601781
UK,UKE2,North Yorkshire,1851,370126,515251.313421354
UK,UKE3,South Yorkshire,1851,288902,297518.452285122
UK,UKE4,West Yorkshire,1851,855367,885723.139817574
UK,UKF1,Derbyshire and Nottinghamshire,1851,459104,631396.411618245
UK,UKF2,Leicestershire  Rutland and Northamptonshire,1851,381863,494192.8639199
UK,UKF3,Lincolnshire,1851,352743,367345.844104738
UK,UKG1,Herefordshire  Worcestershire and Warwickshire,1851,481593,492000.707269155
UK,UKG2,Shropshire and Staffordshire,1851,503719,708601.66856196
UK,UKG3,West Midlands,1851,612139,632272.354210333
UK,UKH1,East Anglia,1851,1025092,1154591.33481076
UK,UKH2,Bedfordshire and Hertfordshire,1851,213644,294259.370291948
UK,UKH3,Essex,1851,306930,389292.39833147
UK,UKI3,Inner London - West,1851,938000,961543.304929536
UK,UKI4,Inner London - East,1851,1294000,1322769.69032404
UK,UKI5,Outer London - East and North East,1851,160000,161685.119888326
UK,UKI6,Outer London - South,1851,67000,67568.0267868603
UK,UKI7,Outer London - West and North West,1851,115000,116036.064287543
UK,UKJ1,Berkshire  Buckinghamshire and Oxfordshire,1851,573684,665393.1778217
UK,UKJ2,Surrey  East and West Sussex,1851,407202,476506.318092142
UK,UKJ3,Hampshire and Isle of Wight,1851,288138,401509.038315836
UK,UKJ4,Kent,1851,412416,513289.826915485
UK,UKK1,Gloucestershire  Wiltshire and Bath/Bristol area,1851,620542,999853.123208322
UK,UKK2,Dorset and Somerset,1851,474807,666659.129003354
UK,UKK3,Cornwall and Isles of Scilly,1851,354137,371263.886191852
UK,UKK4,Devon,1851,450642,770663.176707311
UK,UKL1,West Wales and The Valleys,1851,599026,803869.304672636
UK,UKL2,East Wales,1851,680720,279199.972834009
UK,UKM5,North Eastern Scotland,1851,301278,282717.153798798
UK,UKM6,Highlands and Islands,1851,358138,562561.136249011
UK,UKM7,Eastern Scotland,1851,860163,971425.757646416
UK,UKM8,West Central Scotland,1851,861651.5,813110.265505674
UK,UKM9,Southern Scotland,1851,811803.5,688278.19221891
UK,UKN0,Northern Ireland,1851,1442517,1442517
UK,UKC1,Tees Valley and Durham,1861,225641,535545.084481393
UK,UKC2,Northumberland and Tyne and Wear,1861,569466,585838.899168941
UK,UKD1,Cumbria,1861,305876,317068.272822448
UK,UKD3,Greater Manchester,1861,1232562,1269176.80311661
UK,UKD4,Lancashire,1861,544752,705006.039559479
UK,UKD6,Cheshire,1861,345419,301580.985329198
UK,UKD7,Merseyside,1861,656956,737139.143514446
UK,UKE1,East Yorkshire and Northern Lincolnshire,1861,145398,470487.585556352
UK,UKE2,North Yorkshire,1861,397290,553066.237738418
UK,UKE3,South Yorkshire,1861,370706,381762.24246564
UK,UKE4,West Yorkshire,1861,945731,979294.069963904
UK,UKF1,Derbyshire and Nottinghamshire,1861,504802,694243.943371684
UK,UKF2,Leicestershire  Rutland and Northamptonshire,1861,393803,509645.166958434
UK,UKF3,Lincolnshire,1861,357257,372046.714540973
UK,UKG1,Herefordshire  Worcestershire and Warwickshire,1861,509931,520951.119842829
UK,UKG2,Shropshire and Staffordshire,1861,564717,794409.995384936
UK,UKG3,West Midlands,1861,776415,801951.41935772
UK,UKH1,East Anglia,1861,1007201,1134440.17416264
UK,UKH2,Bedfordshire and Hertfordshire,1861,225945,311201.968792076
UK,UKH3,Essex,1861,316970,402026.558170026
UK,UKI3,Inner London - West,1861,1041000,1067128.55056679
UK,UKI4,Inner London - East,1861,1602000,1637617.49914924
UK,UKI5,Outer London - East and North East,1861,209000,211201.187854126
UK,UKI6,Outer London - South,1861,95000,95805.4111156975
UK,UKI7,Outer London - West and North West,1861,141000,142270.304909074
UK,UKJ1,Berkshire  Buckinghamshire and Oxfordshire,1861,602315,698601.132155816
UK,UKJ2,Surrey  East and West Sussex,1861,461491,540035.11093428
UK,UKJ3,Hampshire and Isle of Wight,1861,312337,435229.398761889
UK,UKJ4,Kent,1861,459784,572243.680600435
UK,UKK1,Gloucestershire  Wiltshire and Bath/Bristol area,1861,631562,1017609.18390648
UK,UKK2,Dorset and Somerset,1861,472078,662827.439994872
UK,UKK3,Cornwall and Isles of Scilly,1861,361438,378917.979475204
UK,UKK4,Devon,1861,456806,781204.510673572
UK,UKL1,West Wales and The Valleys,1861,671007,900464.972339216
UK,UKL2,East Wales,1861,802524,329158.360263603
UK,UKM5,North Eastern Scotland,1861,359353,337214.324872907
UK,UKM6,Highlands and Islands,1861,414397,650932.453909335
UK,UKM7,Eastern Scotland,1861,913266,1031397.67228155
UK,UKM8,West Central Scotland,1861,1002228,945767.37251339
UK,UKM9,Southern Scotland,1861,879754.25,745889.448354069
UK,UKN0,Northern Ireland,1861,1396453,1396453
UK,UKC1,Tees Valley and Durham,1871,277758.5,659242.776569529
UK,UKC2,Northumberland and Tyne and Wear,1871,699804,719924.28870911
UK,UKD1,Cumbria,1871,358319,371430.208481433
UK,UKD3,Greater Manchester,1871,1549418,1595445.40877565
UK,UKD4,Lancashire,1871,587772,760681.575990458
UK,UKD6,Cheshire,1871,381801.5,333346.088576962
UK,UKD7,Merseyside,1871,804939.5,903184.404451663
UK,UKE1,East Yorkshire and Northern Lincolnshire,1871,138813,449179.446855073
UK,UKE2,North Yorkshire,1871,371006.5,516477.054875528
UK,UKE3,South Yorkshire,1871,471696,485764.251784629
UK,UKE4,West Yorkshire,1871,1188185,1230352.52573941
UK,UKF1,Derbyshire and Nottinghamshire,1871,536356,737639.519041253
UK,UKF2,Leicestershire  Rutland and Northamptonshire,1871,420774.5,544550.677126257
UK,UKF3,Lincolnshire,1871,362109.5,377100.098190027
UK,UKG1,Herefordshire  Worcestershire and Warwickshire,1871,527461,538859.960707269
UK,UKG2,Shropshire and Staffordshire,1871,576792.5,811397.084314914
