key,country,statisticalArea1,statisticalArea1Code,statisticalArea2,statisticalArea2Code,statisticalArea3,statisticalArea3Code
AB10,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB11,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB12,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB13,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB14,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB15,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB16,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB21,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB22,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB23,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB24,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB25,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB30,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB31,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB32,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB33,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB34,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB35,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB36,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB37,GBR,Scotland,UKM,Highlands and Islands,UKM6,"Inverness & Nairn and Moray, Badenoch & Strathspey",UKM62
AB38,GBR,Scotland,UKM,Highlands and Islands,UKM6,"Inverness & Nairn and Moray, Badenoch & Strathspey",UKM62
AB39,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB41,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB42,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB43,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB44,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB45,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB51,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB52,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB53,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB54,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AB55,GBR,Scotland,UKM,Highlands and Islands,UKM6,"Inverness & Nairn and Moray, Badenoch & Strathspey",UKM62
AB56,GBR,Scotland,UKM,Highlands and Islands,UKM6,"Inverness & Nairn and Moray, Badenoch & Strathspey",UKM62
AB99,GBR,Scotland,UKM,North Eastern Scotland,UKM5,Aberdeen City and Aberdeenshire,UKM50
AL1,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
AL10,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
AL2,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
AL3,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
AL4,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
AL5,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
AL6,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
AL7,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
AL8,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
AL9,GBR,East of England,UKH,Bedfordshire and Hertfordshire,UKH2,Hertfordshire,UKH23
B1,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B10,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B11,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B12,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B13,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B14,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B15,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B16,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B17,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B18,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B19,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B2,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B20,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B21,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B23,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B24,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B25,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B26,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B27,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B28,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B29,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B3,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B30,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B31,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B32,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B33,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
