country,key,statisticalArea1,statisticalArea1Code,statisticalArea2,statisticalArea2Code,statisticalArea3,statisticalArea3Code
USA,TN.Greene,Tennessee,TN,Johnson City,100,Greene,47059
USA,VA.Bristol(City),Virginia,VA,Johnson City,100,Bristol City,51520
USA,TN.Unicoi,Tennessee,TN,Johnson City,100,Unicoi,47171
USA,TN.Sullivan,Tennessee,TN,Johnson City,100,Sullivan,47163
USA,VA.Smyth,Virginia,VA,Johnson City,100,Smyth,51173
USA,VA.Washington,Virginia,VA,Johnson City,100,Washington,51191
USA,TN.Hawkins,Tennessee,TN,Johnson City,100,Hawkins,47073
USA,VA.Scott,Virginia,VA,Johnson City,100,Scott,51169
USA,TN.Carter,Tennessee,TN,Johnson City,100,Carter,47019
USA,VA.Bristolcity,Virginia,VA,Johnson City,100,Bristol City,51520
USA,TN.Washington,Tennessee,TN,Johnson City,100,Washington,47179
USA,TN.Hamblen,Tennessee,TN,Morristown,200,Hamblen,47063
USA,TN.Sevier,Tennessee,TN,Morristown,200,Sevier,47155
USA,TN.Cocke,Tennessee,TN,Morristown,200,Cocke,47029
USA,TN.Grainger,Tennessee,TN,Morristown,200,Grainger,47057
USA,TN.Jefferson,Tennessee,TN,Morristown,200,Jefferson,47089
USA,TN.Claiborne,Tennessee,TN,Middlesborough,301,Claiborne,47025
USA,TN.Hancock,Tennessee,TN,Middlesborough,301,Hancock,47067
USA,KY.Bell,Kentucky,KY,Middlesborough,301,Bell,21013
USA,TN.Morgan,Tennessee,TN,Knoxville,302,Morgan,47129
USA,TN.Knox,Tennessee,TN,Knoxville,302,Knox,47093
USA,TN.Roane,Tennessee,TN,Knoxville,302,Roane,47145
USA,TN.Anderson,Tennessee,TN,Knoxville,302,Anderson,47001
USA,TN.Union,Tennessee,TN,Knoxville,302,Union,47173
USA,TN.Loudon,Tennessee,TN,Knoxville,302,Loudon,47105
USA,TN.Campbell,Tennessee,TN,Knoxville,302,Campbell,47013
USA,TN.Blount,Tennessee,TN,Knoxville,302,Blount,47009
USA,NC.Davie,North Carolina,NC,Winston-Salem,401,Davie,37059
USA,NC.Forsyth,North Carolina,NC,Winston-Salem,401,Forsyth,37067
USA,NC.Surry,North Carolina,NC,Winston-Salem,401,Surry,37171
USA,NC.Yadkin,North Carolina,NC,Winston-Salem,401,Yadkin,37197
USA,NC.Stokes,North Carolina,NC,Winston-Salem,401,Stokes,37169
USA,VA.Henry,Virginia,VA,Martinsville,402,Henry,51089
USA,VA.Patrick,Virginia,VA,Martinsville,402,Patrick,51141
USA,VA.Martinsville(City),Virginia,VA,Martinsville,402,Martinsville City,51690
USA,VA.Martinsvillecity,Virginia,VA,Martinsville,402,Martinsville City,51690
USA,NC.Randolph,North Carolina,NC,Greensboro,500,Randolph,37151
USA,NC.Alamance,North Carolina,NC,Greensboro,500,Alamance,37001
USA,NC.Guilford,North Carolina,NC,Greensboro,500,Guilford,37081
USA,NC.Caswell,North Carolina,NC,Greensboro,500,Caswell,37033
USA,VA.Pittsylvania,Virginia,VA,Greensboro,500,Pittsylvania,51143
USA,VA.Danville(City),Virginia,VA,Greensboro,500,Danville City,51590
USA,NC.Davidson,North Carolina,NC,Greensboro,500,Davidson,37057
USA,VA.Danvillecity,Virginia,VA,Greensboro,500,Danville City,51590
USA,NC.Rockingham,North Carolina,NC,Greensboro,500,Rockingham,37157
USA,NC.Wilkes,North Carolina,NC,North Wilkesboro,601,Wilkes,37193
USA,NC.Ashe,North Carolina,NC,North Wilkesboro,601,Ashe,37009
USA,VA.Carroll,Virginia,VA,Galax,602,Carroll,51035
USA,VA.Galax(City),Virginia,VA,Galax,602,Galax City,51640
USA,VA.Galaxcity,Virginia,VA,Galax,602,Galax City,51640
USA,VA.Grayson,Virginia,VA,Galax,602,Grayson,51077
