kind,key,harmonized,fipsCode
county,AL.Autauga,Autauga,01001
county,AL.Baldwin,Baldwin,01003
county,AL.Barbour,Barbour,01005
county,AL.Bibb,Bibb,01007
county,AL.Blount,Blount,01009
county,AL.Bullock,Bullock,01011
county,AL.Butler,Butler,01013
county,AL.Calhoun,Calhoun,01015
county,AL.Chambers,Chambers,01017
county,AL.Cherokee,Cherokee,01019
county,AL.Chilton,Chilton,01021
county,AL.Choctaw,Choctaw,01023
county,AL.Clarke,Clarke,01025
county,AL.Clay,Clay,01027
county,AL.Cleburne,Cleburne,01029
county,AL.Coffee,Coffee,01031
county,AL.Colbert,Colbert,01033
county,AL.Conecuh,Conecuh,01035
county,AL.Coosa,Coosa,01037
county,AL.Covington,Covington,01039
county,AL.Crenshaw,Crenshaw,01041
county,AL.Cullman,Cullman,01043
county,AL.Dale,Dale,01045
county,AL.Dallas,Dallas,01047
county,AL.Dekalb,De Kalb,01049
county,AL.Elmore,Elmore,01051
county,AL.Escambia,Escambia,01053
county,AL.Etowah,Etowah,01055
county,AL.Fayette,Fayette,01057
county,AL.Franklin,Franklin,01059
county,AL.Geneva,Geneva,01061
county,AL.Greene,Greene,01063
county,AL.Hale,Hale,01065
county,AL.Henry,Henry,01067
county,AL.Houston,Houston,01069
county,AL.Jackson,Jackson,01071
county,AL.Jefferson,Jefferson,01073
county,AL.Lamar,Lamar,01075
county,AL.Lauderdale,Lauderdale,01077
county,AL.Lawrence,Lawrence,01079
county,AL.Lee,Lee,01081
county,AL.Limestone,Limestone,01083
county,AL.Lowndes,Lowndes,01085
county,AL.Macon,Macon,01087
county,AL.Madison,Madison,01089
county,AL.Marengo,Marengo,01091
county,AL.Marion,Marion,01093
county,AL.Marshall,Marshall,01095
county,AL.Mobile,Mobile,01097
county,AL.Monroe,Monroe,01099
county,AL.Montgomery,Montgomery,01101
county,AL.Morgan,Morgan,01103
county,AL.Perry,Perry,01105
county,AL.Pickens,Pickens,01107
county,AL.Pike,Pike,01109
county,AL.Randolph,Randolph,01111
county,AL.Russell,Russell,01113
county,AL.Shelby,Shelby,01117
county,AL.StClair,St Clair,01115
county,AL.Sumter,Sumter,01119
county,AL.Talladega,Talladega,01121
county,AL.Tallapoosa,Tallapoosa,01123
county,AL.Tuscaloosa,Tuscaloosa,01125
county,AL.Walker,Walker,01127
county,AL.Washington,Washington,01129
county,AL.Wilcox,Wilcox,01131
county,AL.Winston,Winston,01133
county,AK.Anchorage,Anchorage,02020
county,AK.Denali,Denali,02068
county,AK.FairbanksNorthStar,Fairbanks North Star,02090
county,AK.Juneau,Juneau,02110
county,AK.KenaiPeninsula,Kenai Peninsula,02122
county,AK.KetchikanGateway,Ketchikan Gateway,02130
county,AK.KodiakIsland,Kodiak Island,02150
county,AK.Matanuska-Susitna,Matanuska-Susitna,02170
county,AK.Nome,Nome,02180
county,AK.Petersburg,,02195
county,AK.PrinceofWales-Hyder,,02198
county,AK.Sitka,Sitka,02220
county,AK.Skagway,,02230
county,AK.SoutheastFairbanks,Southeast Fairbanks,02240
county,AK.Valdez-Cordova,Valdez-Cordova,02261
county,AK.Wrangell,,02275
county,AK.Yukon-Koyukuk,Yukon-Koyukuk,02290
county,AZ.Apache,Apache,04001
county,AZ.Cochise,Cochise,04003
county,AZ.Coconino,Coconino,04005
county,AZ.Gila,Gila,04007
county,AZ.Graham,Graham,04009
county,AZ.Greenlee,Greenlee,04011
county,AZ.LaPaz,La Paz,04012
county,AZ.Maricopa,Maricopa,04013
county,AZ.Mohave,Mohave,04015
county,AZ.Navajo,Navajo,04017
county,AZ.Pima,Pima,04019
county,AZ.Pinal,Pinal,04021
county,AZ.SantaCruz,Santa Cruz,04023
county,AZ.Yavapai,Yavapai,04025
county,AZ.Yuma,Yuma,04027
county,AR.Arkansas,Arkansas,05001
county,AR.Ashley,Ashley,05003
county,AR.Baxter,Baxter,05005
county,AR.Benton,Benton,05007
county,AR.Boone,Boone,05009
county,AR.Bradley,Bradley,05011
county,AR.Calhoun,Calhoun,05013
county,AR.Carroll,Carroll,05015
county,AR.Chicot,Chicot,05017
county,AR.Clark,Clark,05019
county,AR.Clay,Clay,05021
county,AR.Cleburne,Cleburne,05023
county,AR.Cleveland,Cleveland,05025
county,AR.Columbia,Columbia,05027
county,AR.Conway,Conway,05029
county,AR.Craighead,Craighead,05031
county,AR.Crawford,Crawford,05033
county,AR.Crittenden,Crittenden,05035
county,AR.Cross,Cross,05037
county,AR.Dallas,Dallas,05039
county,AR.Desha,Desha,05041
county,AR.Drew,Drew,05043
county,AR.Faulkner,Faulkner,05045
county,AR.Franklin,Franklin,05047
county,AR.Fulton,Fulton,05049
county,AR.Garland,Garland,05051
county,AR.Grant,Grant,05053
county,AR.Greene,Greene,05055
county,AR.Hempstead,Hempstead,05057
county,AR.HotSpring,Hot Spring,05059
county,AR.Howard,Howard,05061
county,AR.Independence,Independence,05063
county,AR.Izard,Izard,05065
county,AR.Jackson,Jackson,05067
county,AR.Jefferson,Jefferson,05069
county,AR.Johnson,Johnson,05071
county,AR.Lafayette,Lafayette,05073
county,AR.Lawrence,Lawrence,05075
county,AR.Lee,Lee,05077
county,AR.Lincoln,Lincoln,05079
county,AR.LittleRiver,Little River,05081
county,AR.Logan,Logan,05083
county,AR.Lonoke,Lonoke,05085
county,AR.Madison,Madison,05087
county,AR.Marion,Marion,05089
county,AR.Miller,Miller,05091
county,AR.Mississippi,Mississippi,05093
county,AR.Monroe,Monroe,05095
county,AR.Montgomery,Montgomery,05097
county,AR.Nevada,Nevada,05099
county,AR.Newton,Newton,05101
county,AR.Ouachita,Ouachita,05103
county,AR.Perry,Perry,05105
county,AR.Phillips,Phillips,05107
county,AR.Pike,Pike,05109
county,AR.Poinsett,Poinsett,05111
county,AR.Polk,Polk,05113
county,AR.Pope,Pope,05115
county,AR.Prairie,Prairie,05117
county,AR.Pulaski,Pulaski,05119
county,AR.Randolph,Randolph,05121
county,AR.Saline,Saline,05125
county,AR.Scott,Scott,05127
county,AR.Searcy,Searcy,05129
county,AR.Sebastian,Sebastian,05131
county,AR.Sevier,Sevier,05133
county,AR.Sharp,Sharp,05135
county,AR.StFrancis,St Francis,05123
county,AR.Stone,Stone,05137
county,AR.Union,Union,05139
county,AR.VanBuren,Van Buren,05141
county,AR.Washington,Washington,05143
county,AR.White,White,05145
county,AR.Woodruff,Woodruff,05147
county,AR.Yell,Yell,05149
county,CA.Alameda,Alameda,06001
county,CA.Alpine,Alpine,06003
county,CA.Amador,Amador,06005
county,CA.Butte,Butte,06007
county,CA.Calaveras,Calaveras,06009
county,CA.Colusa,Colusa,06011
county,CA.ContraCosta,Contra Costa,06013
county,CA.DelNorte,Del Norte,06015
county,CA.ElDorado,El Dorado,06017
county,CA.Fresno,Fresno,06019
county,CA.Glenn,Glenn,06021
county,CA.Humboldt,Humboldt,06023
county,CA.Imperial,Imperial,06025
county,CA.Inyo,Inyo,06027
county,CA.Kern,Kern,06029
county,CA.Kings,Kings,06031
county,CA.Lake,Lake,06033
county,CA.Lassen,Lassen,06035
county,CA.LosAngeles,Los Angeles,06037
county,CA.Madera,Madera,06039
county,CA.Marin,Marin,06041
county,CA.Mariposa,Mariposa,06043
county,CA.Mendocino,Mendocino,06045
county,CA.Merced,Merced,06047
county,CA.Modoc,Modoc,06049
county,CA.Mono,Mono,06051
county,CA.Monterey,Monterey,06053
county,CA.Napa,Napa,06055
county,CA.Nevada,Nevada,06057
county,CA.Orange,Orange,06059
county,CA.Placer,Placer,06061
county,CA.Plumas,Plumas,06063
county,CA.Riverside,Riverside,06065
county,CA.Sacramento,Sacramento,06067
county,CA.SanBenito,San Benito,06069
county,CA.SanBernardino,San Bernardino,06071
county,CA.SanDiego,San Diego,06073
county,CA.SanFrancisco,San Francisco,06075
county,CA.SanJoaquin,San Joaquin,06077
county,CA.SanLuisObispo,San Luis Obispo,06079
county,CA.SanMateo,San Mateo,06081
county,CA.SantaBarbara,Santa Barbara,06083
county,CA.SantaClara,Santa Clara,06085
county,CA.SantaCruz,Santa Cruz,06087
county,CA.Shasta,Shasta,06089
county,CA.Sierra,Sierra,06091
county,CA.Siskiyou,Siskiyou,06093
county,CA.Solano,Solano,06095
county,CA.Sonoma,Sonoma,06097
county,CA.Stanislaus,Stanislaus,06099
county,CA.Sutter,Sutter,06101
county,CA.Tehama,Tehama,06103
county,CA.Trinity,Trinity,06105
county,CA.Tulare,Tulare,06107
county,CA.Tuolumne,Tuolumne,06109
county,CA.Ventura,Ventura,06111
county,CA.Yolo,Yolo,06113
county,CA.Yuba,Yuba,06115
