country,key,statisticalArea1,statisticalArea1Code,statisticalArea2,statisticalArea2Code,statisticalArea3,statisticalArea3Code
USA,AL.Autauga,Alabama,AL,Montgomery,,Autauga,01001
USA,AL.Baldwin,Alabama,AL,Mobile,,Baldwin,01003
USA,AL.Barbour,Alabama,AL,Eufaula,,Barbour,01005
USA,AL.Bibb,Alabama,AL,Tuscaloosa,,Bibb,01007
USA,AL.Blount,Alabama,AL,Birmingham,,Blount,01009
USA,AL.Bullock,Alabama,AL,Auburn,,Bullock,01011
USA,AL.Butler,Alabama,AL,Montgomery,,Butler,01013
USA,AL.Calhoun,Alabama,AL,LaGrange,,Calhoun,01015
USA,AL.Chambers,Alabama,AL,LaGrange,,Chambers,01017
USA,AL.Cherokee,Alabama,AL,Rome,,Cherokee,01019
USA,AL.Chilton,Alabama,AL,Birmingham,,Chilton,01021
USA,AL.Choctaw,Alabama,AL,Demopolis,,Choctaw,01023
USA,AL.Clarke,Alabama,AL,Mobile,,Clarke,01025
USA,AL.Clay,Alabama,AL,Talladega,,Clay,01027
USA,AL.Cleburne,Alabama,AL,LaGrange,,Cleburne,01029
USA,AL.Coffee,Alabama,AL,Dothan,,Coffee,01031
USA,AL.Colbert,Alabama,AL,Florence,,Colbert,01033
USA,AL.Conecuh,Alabama,AL,Atmore,,Conecuh,01035
USA,AL.Coosa,Alabama,AL,Talladega,,Coosa,01037
USA,AL.Covington,Alabama,AL,Troy,,Covington,01039
USA,AL.Crenshaw,Alabama,AL,Troy,,Crenshaw,01041
USA,AL.Cullman,Alabama,AL,Birmingham,,Cullman,01043
USA,AL.Dale,Alabama,AL,Dothan,,Dale,01045
USA,AL.Dallas,Alabama,AL,Tuscaloosa,,Dallas,01047
USA,AL.Dekalb,Alabama,AL,Gadsden,,De Kalb,01049
USA,AL.Elmore,Alabama,AL,Montgomery,,Elmore,01051
USA,AL.Escambia,Alabama,AL,Atmore,,Escambia,01053
USA,AL.Etowah,Alabama,AL,Gadsden,,Etowah,01055
USA,AL.Fayette,Alabama,AL,Jasper,,Fayette,01057
USA,AL.Franklin,Alabama,AL,Florence,,Franklin,01059
USA,AL.Geneva,Alabama,AL,Dothan,,Geneva,01061
USA,AL.Greene,Alabama,AL,Demopolis,,Greene,01063
USA,AL.Hale,Alabama,AL,Tuscaloosa,,Hale,01065
USA,AL.Henry,Alabama,AL,Dothan,,Henry,01067
USA,AL.Houston,Alabama,AL,Dothan,,Houston,01069
USA,AL.Jackson,Alabama,AL,Gadsden,,Jackson,01071
USA,AL.Jefferson,Alabama,AL,Birmingham,,Jefferson,01073
USA,AL.Lamar,Alabama,AL,Jasper,,Lamar,01075
USA,AL.Lauderdale,Alabama,AL,Florence,,Lauderdale,01077
USA,AL.Lawrence,Alabama,AL,Huntsville,,Lawrence,01079
USA,AL.Lee,Alabama,AL,Auburn,,Lee,01081
USA,AL.Limestone,Alabama,AL,Huntsville,,Limestone,01083
USA,AL.Lowndes,Alabama,AL,Montgomery,,Lowndes,01085
USA,AL.Macon,Alabama,AL,Auburn,,Macon,01087
USA,AL.Madison,Alabama,AL,Huntsville,,Madison,01089
USA,AL.Marengo,Alabama,AL,Demopolis,,Marengo,01091
USA,AL.Marion,Alabama,AL,Jasper,,Marion,01093
USA,AL.Marshall,Alabama,AL,Gadsden,,Marshall,01095
USA,AL.Mobile,Alabama,AL,Mobile,,Mobile,01097
USA,AL.Monroe,Alabama,AL,Atmore,,Monroe,01099
USA,AL.Montgomery,Alabama,AL,Montgomery,,Montgomery,01101
USA,AL.Morgan,Alabama,AL,Huntsville,,Morgan,01103
USA,AL.Perry,Alabama,AL,Tuscaloosa,,Perry,01105
USA,AL.Pickens,Alabama,AL,Columbus,,Pickens,01107
USA,AL.Pike,Alabama,AL,Troy,,Pike,01109
