geoid,loc_postalcode
8425,89183
16077,4600
15081,39619
9361,92224
9371,92271
3451,26655
15082,6780
9561,91522
9661,63739
9761,86157
8211,76534
9461,96169
9462,95448
9172,83489
6431,64689
11000,10178
5711,33615
5911,44799
8435,88699
5314,53123
5554,46395
5512,46242
4012,27570
15084,6686
8115,71088
15083,39340
8235,75365
9372,93449
14511,9113
3453,49624
9463,96450
5558,48308
6411,64283
6432,64807
3401,27749
15001,6849
9279,84163
7333,67308
5913,44369
5112,47198
5358,52372
5111,40213
16061,37355
9176,85104
7232,54610
16056,99817
3402,26725
8316,79211
5954,58456
8236,71296
9177,85459
16051,99092
14521,8349
5113,45239
8116,73773
5366,53925
7311,67227
12053,15230
6412,60326
8311,79100
8237,72250
9272,94518
3455,26434
6631,36039
9179,82285
9563,90765
5513,45899
16052,7551
6531,35398
6433,64584
8117,73087
5754,33442
5914,58119
2000,21035
3252,31785
5915,59077
8221,69121
8121,74076
5758,32602
5916,44623
6632,36287
5958,59755
6434,61273
9464,95032
8126,74679
5762,33039
16070,98711
9161,85049
16053,7747
15086,39245
7312,67657
8215,76356
6633,34359
6611,34132
9762,87600
9763,87437
5154,47509
7111,56070
8335,78345
5114,47802
1051,25767
5370,41844
1053,23919
1054,25923
1055,23775
1056,22880
1057,24306
1058,24107
1059,24395
1060,24629
1061,25588
1062,23619
12051,14770
3101,38122
4011,28309
12052,3052
14612,1257
9562,91052
1001,24939
15002,6124
1002,24148
9261,84028
14713,4316
1004,24539
12054,14482
13072,18106
16065,6567
5315,50672
6532,35630
15003,39124
7131,53489
9771,86447
7132,57586
9171,84579
7331,67591
9571,91637
9671,63871
9772,86868
3452,26603
7332,67271
9672,97708
7133,55545
9173,83673
12060,16341
14625,1909
9472,95497
7231,54523
8426,88416
7134,55626
8315,79822
3351,29320
9473,96242
7135,56818
3352,27628
9174,85238
12061,15738
9271,94533
3251,27211
9773,89444
9779,86653
9175,85664
12062,4931
3454,49770
9572,91341
9474,91090
9178,85402
9573,90579
9180,82433
7334,76776
3151,38530
3153,38642
16067,99869
3456,49849
16076,7957
14626,2730
3152,37534
9774,86491
3353,21395
15085,6507
12063,14621
9674,97522
3358,29693
8135,89520
8125,74239
3154,38461
16069,98530
3254,31039
9475,95185
3255,37639
7335,67661
9273,93342
9675,97334
9476,96352
9477,95352
7336,66887
9181,86923
3457,26844
14729,4442
9478,96264
9776,88179
8336,79585
3355,21394
7339,55270
7137,56179
14627,1471
9676,63937
14522,9633
12064,16269
9183,83559
9184,85764
9373,92361
9575,91472
9374,92670
7138,57614
3256,31582
16062,99768
14730,4425
9780,87544
12065,16548
12066,1994
12067,15566
3458,27801
3404,49191
9777,87679
3356,27729
12068,16837
9262,94542
9186,85107
12069,14548
12070,19348
8436,88271
9276,94209
9375,93186
9673,97616
9187,83512
13072,17166
9576,91186
9277,84378
3257,31559
16066,98559
9376,92445
9678,97532
8437,88605
16072,96524
12071,3149
3359,21726
15090,39606
9278,94347
14628,1809
16068,99628
7337,76855
12072,15806
9377,95700
9189,83413
7235,54451
8327,78573
12073,16278
9778,87779
3361,27321
6635,34516
8337,79809
9190,82377
9577,91798
15091,6909
3462,26446
3158,38173
9679,97283
9274,84079
5316,51381
6533,65594
5766,32683
8118,71634
7314,67067
